scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,formation_arc_drift,formation_offsets,primary_disc_unc,refinement_min_slack,refinement_status
s008,100,7.9691,formation,formation,2,true,,1102.430822196464,4.881475803031338,1.1406,14.0,0.8908,70,1102.431,"[4.4766, 4.8815]","[5.5345, 5.1086]",[0.0],[-1],5.108647458103386,0.01368059856111156,optimized
s008,90,7.1722,formation,formation,2,true,,1100.3255474357177,4.8647368696729005,1.1384,14.1,0.8959,70,1100.326,"[4.401, 4.8647]","[5.5345, 5.1086]",[0.0],[-1],5.108647458103386,0.012103690572646679,optimized
s008,80,6.3753,formation,formation,2,true,,1154.735533166351,5.108647458103386,1.1947,13.6,0.8682,70,1154.736,"[5.5345, 5.1086]","[5.5345, 5.1086]",[0.0],[-1],5.108647458103386,0.01611111211111111,seed_only
s008,70,5.5784,formation,formation,2,true,,1154.735533166351,5.108647458103386,1.1947,13.6,0.8662,70,1154.736,"[5.5345, 5.1086]","[5.5345, 5.1086]",[0.0],[-1],5.108647458103386,0.01611111211111111,seed_only
s008,60,4.7815,formation,formation,2,true,,1210.5588037914958,3.8944161783895535,1.2525,14.2,0.9043,171,1210.559,"[3.8527, 3.8944]","[4.2725, 4.5795]",[0.0],[1],4.57945255292521,0.003574006407689012,optimized
s008,50,3.9845,formation,formation,2,true,,1243.8536208016171,3.6791415866745982,1.2869,16.9,1.0796,13241,1243.854,"[3.9464, 3.6791]","[4.2725, 4.5795]",[0.0],[1],4.57945255292521,0.014977529818473084,optimized
s008,40,3.1876,formation,formation,2,false,recovery_failed,1241.956492126924,3.5981697693053376,,14.7,0.9344,13241,1241.956,"[3.8473, 3.5982]","[4.2725, 4.5795]",[0.0],[1],4.57945255292521,-0.4105322053053375,recovery_failed
s008,30,2.3907,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,100,7.5978,formation,formation,2,true,,1382.0958039527966,7.321529294765853,1.2283,14.5,0.9160,274,1382.096,"[7.1929, 7.3215]","[7.4309, 7.4316]",[0.0],[-1],7.43162198399206,1.6731682535464643e-5,optimized
s012,90,6.8380,formation,formation,2,false,recovery_failed,1396.880294165759,7.368530307768887,,14.6,0.9216,16890,1396.88,"[7.3664, 7.3685]","[7.4309, 7.4316]",[0.0],[-1],7.43162198399206,-0.5304913407688865,recovery_failed
s012,80,6.0783,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,70,5.3185,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,60,4.5587,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,50,3.7989,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,40,3.0391,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s012,30,2.2793,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s015,100,6.0115,formation,formation,2,true,,1127.2984727977066,3.7505528199976954,1.1558,14.6,0.9362,38,1127.298,"[1.8598, 3.7506]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,3.7423128931325655e-6,optimized
s015,90,5.4104,formation,formation,2,true,,1127.2486262549319,3.7588024454723405,1.1558,14.6,0.9333,38,1127.249,"[1.8598, 3.7588]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,8.701013566175808e-7,optimized
s015,80,4.8092,formation,formation,2,true,,1094.4667525200543,2.79974333688216,1.1222,14.8,0.9455,38,1094.467,"[1.8375, 2.7997]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,3.368016677995911e-6,optimized
s015,70,4.2081,formation,formation,2,true,,1127.8041323412638,3.77955323179833,1.1563,14.7,0.9435,38,1127.804,"[1.8599, 3.7796]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,2.533732182570525e-7,optimized
s015,60,3.6069,formation,formation,2,true,,1127.228297587259,3.5972161890957497,1.1557,14.8,0.9467,38,1127.228,"[1.8539, 3.5972]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,5.151659471919895e-6,optimized
s015,50,3.0058,formation,formation,2,true,,1129.2771763835683,2.768092687657152,1.1578,14.2,0.9081,38,1129.277,"[1.8541, 2.7681]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,0.01611738758471086,optimized
s015,40,2.4046,formation,formation,2,false,recovery_failed,1134.514639422443,2.617557534747419,,15.4,0.9831,19870,1134.515,"[1.8393, 2.6176]","[2.0429, 2.8896]",[0.0],[-1],2.8896112411576396,-0.21294331174741865,recovery_failed
s015,30,1.8035,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s016,100,5.3298,formation,formation,2,false,recovery_failed,1271.5051543016236,5.340265273785744,,14.7,0.9385,12146,1271.505,"[5.273, 5.3403]","[5.3582, 5.3593]",[0.0],[1],5.359264847883778,-0.010443901785743392,recovery_failed
s016,90,4.7968,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s016,80,4.2639,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s016,70,3.7309,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s016,60,3.1979,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s016,50,2.6649,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s016,40,2.1319,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s016,30,1.5989,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s017,100,8.9550,formation,formation,2,true,,1204.7597753172079,8.705713993556149,1.3195,15.4,0.9919,10691,1204.76,"[3.726, 8.7057]","[3.7191, 9.8444]",[0.0],[1],9.844417369957432,3.4051236656729156e-9,optimized
s017,90,8.0595,formation,formation,2,true,,1203.958389184284,8.006378942468368,1.3186,15.8,1.0149,10691,1203.958,"[3.4305, 8.0064]","[3.7191, 9.8444]",[0.0],[1],9.844417369957432,1.9309537090811402e-8,optimized
s017,80,7.1640,formation,formation,2,false,recovery_failed,1195.83195048646,7.454138499648386,,16.8,1.0823,10691,1195.832,"[2.7158, 7.4541]","[3.7191, 9.8444]",[0.0],[1],9.844417369957432,-0.29010891064838606,recovery_failed
s017,70,6.2685,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s017,60,5.3730,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s017,50,4.4775,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s017,40,3.5820,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s017,30,2.6865,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s023,100,5.0964,formation,formation,2,true,,848.5555298659681,1.7302209349143813,1.3346,13.8,0.9003,26,848.556,"[0.8356, 1.7302]","[0.8375, 1.1857]",[0.0],[-1],1.1856869627026825,0.014937900546695283,optimized
s023,90,4.5868,formation,formation,2,true,,850.0199299147573,1.5672295910277811,1.3369,13.8,0.8992,26,850.02,"[0.8356, 1.5672]","[0.8375, 1.1857]",[0.0],[-1],1.1856869627026825,0.016293463062183114,optimized
s023,80,4.0771,formation,formation,2,true,,848.7595647582804,1.7394823507893782,1.3349,13.8,0.9007,26,848.76,"[0.8355, 1.7395]","[0.8375, 1.1857]",[0.0],[-1],1.1856869627026825,0.01496150162491189,optimized
s023,70,3.5675,formation,formation,2,true,,848.2270439831037,1.7710286591831157,1.3341,13.9,0.9054,26,848.227,"[0.8353, 1.771]","[0.8375, 1.1857]",[0.0],[-1],1.1856869627026825,0.014389811150819906,optimized
s023,60,3.0578,formation,formation,2,true,,848.6519236440922,1.735140839148601,1.3348,13.9,0.9044,26,848.652,"[0.8354, 1.7351]","[0.8375, 1.1857]",[0.0],[-1],1.1856869627026825,0.015002270505510703,optimized
s023,50,2.5482,formation,formation,2,true,,849.9546543193685,1.5596725526512825,1.3368,13.8,0.8979,26,849.955,"[0.8354, 1.5597]","[0.8375, 1.1857]",[0.0],[-1],1.1856869627026825,0.016300817175106338,optimized
s023,40,2.0386,formation,formation,2,true,,848.6197686531181,1.7333496391257066,1.3347,13.8,0.9001,26,848.62,"[0.8354, 1.7333]","[0.8375, 1.1857]",[0.0],[-1],1.1856869627026825,0.014986075498787898,optimized
s023,30,1.5289,formation,formation,2,true,,854.6648215290919,1.1942195138337597,1.3442,13.6,0.8862,26,854.665,"[0.8367, 1.1942]","[0.8375, 1.1857]",[0.0],[-1],1.1856869627026825,0.016193994502023704,optimized
s024,100,10.8850,formation,formation,2,true,,946.8069533340839,8.40452448763725,1.0302,14.6,0.9367,20,946.807,"[8.4605, 8.4045]","[10.4858, 10.4837]",[0.0],[-1],10.483694724772608,3.94739455358839e-9,optimized
