scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc
s004,30,1.6027,discrete_only,discrete_only,2,false,unc_violated,1377.606753739769,2.082543173621458,,88.3,5.7724,1000000,1377.607,"[1.472, 2.0825]","[1.472, 2.0825]",2.082543173621458
s005,100,11.3555,discrete_only,discrete_only,2,true,,1004.2015064666963,4.017256140338356,1.0964,16.6,1.0807,20,1004.202,"[2.1601, 4.0173]","[2.1601, 4.0173]",4.017256140338356
s005,90,10.2199,discrete_only,discrete_only,2,true,,1004.2015064666963,4.017256140338356,1.0964,16.5,1.0758,20,1004.202,"[2.1601, 4.0173]","[2.1601, 4.0173]",4.017256140338356
s005,80,9.0844,discrete_only,discrete_only,2,true,,1004.2015064666963,4.017256140338356,1.0964,16.5,1.0777,20,1004.202,"[2.1601, 4.0173]","[2.1601, 4.0173]",4.017256140338356
s005,70,7.9488,discrete_only,discrete_only,2,true,,1004.2015064666963,4.017256140338356,1.0964,16.6,1.0798,20,1004.202,"[2.1601, 4.0173]","[2.1601, 4.0173]",4.017256140338356
s005,60,6.8133,discrete_only,discrete_only,2,true,,1004.2015064666963,4.017256140338356,1.0964,16.5,1.0778,20,1004.202,"[2.1601, 4.0173]","[2.1601, 4.0173]",4.017256140338356
s005,50,5.6777,discrete_only,discrete_only,2,true,,1004.2015064666963,4.017256140338356,1.0964,16.5,1.0754,20,1004.202,"[2.1601, 4.0173]","[2.1601, 4.0173]",4.017256140338356
s005,40,4.5422,discrete_only,discrete_only,2,true,,1004.2015064666963,4.017256140338356,1.0964,16.4,1.0682,20,1004.202,"[2.1601, 4.0173]","[2.1601, 4.0173]",4.017256140338356
s005,30,3.4066,discrete_only,discrete_only,2,true,,1118.518103482096,3.0549845925930206,1.2212,17.1,1.1160,8886,1118.518,"[2.1598, 3.055]","[2.1598, 3.055]",3.0549845925930206
s006,100,9.9773,discrete_only,discrete_only,2,true,,704.2015064666964,3.961548860324093,1.1689,16.5,1.0809,74,704.202,"[2.6467, 3.9615]","[2.6467, 3.9615]",3.961548860324093
s006,90,8.9796,discrete_only,discrete_only,2,true,,704.2015064666964,3.961548860324093,1.1689,16.4,1.0781,74,704.202,"[2.6467, 3.9615]","[2.6467, 3.9615]",3.961548860324093
s006,80,7.9818,discrete_only,discrete_only,2,true,,704.2015064666964,3.961548860324093,1.1689,16.4,1.0787,74,704.202,"[2.6467, 3.9615]","[2.6467, 3.9615]",3.961548860324093
s006,70,6.9841,discrete_only,discrete_only,2,true,,704.2015064666964,3.961548860324093,1.1689,16.5,1.0815,74,704.202,"[2.6467, 3.9615]","[2.6467, 3.9615]",3.961548860324093
s006,60,5.9864,discrete_only,discrete_only,2,true,,704.2015064666964,3.961548860324093,1.1689,16.3,1.0717,74,704.202,"[2.6467, 3.9615]","[2.6467, 3.9615]",3.961548860324093
s006,50,4.9886,discrete_only,discrete_only,2,true,,704.2015064666964,3.961548860324093,1.1689,16.3,1.0698,74,704.202,"[2.6467, 3.9615]","[2.6467, 3.9615]",3.961548860324093
s006,40,3.9909,discrete_only,discrete_only,2,true,,704.2015064666964,3.961548860324093,1.1689,16.2,1.0647,74,704.202,"[2.6467, 3.9615]","[2.6467, 3.9615]",3.961548860324093
s006,30,2.9932,discrete_only,discrete_only,2,false,unc_violated,1203.3793706124393,3.9603186369487386,,83.7,5.4949,1000000,1203.379,"[3.4976, 3.9603]","[3.4976, 3.9603]",3.9603186369487386
s007,100,7.1391,discrete_only,discrete_only,2,true,,835.9515349558134,5.3175060521709945,1.0691,16.5,1.0731,174,835.952,"[3.598, 5.3175]","[3.598, 5.3175]",5.3175060521709945
s007,90,6.4252,discrete_only,discrete_only,2,true,,835.9515349558134,5.3175060521709945,1.0691,16.4,1.0630,174,835.952,"[3.598, 5.3175]","[3.598, 5.3175]",5.3175060521709945
s007,80,5.7113,discrete_only,discrete_only,2,true,,835.9515349558134,5.3175060521709945,1.0691,16.3,1.0564,174,835.952,"[3.598, 5.3175]","[3.598, 5.3175]",5.3175060521709945
s007,70,4.9974,discrete_only,discrete_only,2,true,,854.2015064666965,4.369896454280384,1.0924,16.3,1.0572,198,854.202,"[3.38, 4.3699]","[3.38, 4.3699]",4.369896454280384
