arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,1.0,0.0,0.0,0.0,0.0
100.0,1,2,0.999999999999847,73.95456802445071,-67.30789127102257,88.91400776065129,-45.762926842383116
200.0,1,2,0.9999999994384645,151.29253724542752,-130.5501947180427,177.62324374103065,-91.92150780730253
300.0,1,2,0.9999916169226505,230.44984340620485,-191.59168733697229,269.025565746005,-132.25142654536867
400.0,1,2,0.9523697999429761,319.31082906029667,-236.29495133833157,365.9681346352644,-156.41107619071042
500.0,1,2,0.019944323872531283,415.36974737514896,-264.0091900060734,465.2487407538434,-166.2634944235249
700.0,1,2,0.000223288454284253,606.4389857725832,-241.1425528151689,662.0983303298597,-133.68481487337624
800.0,1,2,0.12719627728468116,695.3619892435495,-195.4679077916126,759.8830413929425,-112.86520072624106
900.0,1,2,0.32359830256443656,785.1600950470436,-151.65807375434173,852.2845253099182,-75.06596985237059
1000.0,1,2,0.009274156322181381,881.2839880537696,-124.64323993869385,942.005672089693,-30.915676018575265
