helper,layer,node,arc,helper_unc,primary_unc,path
helper1,2,230,150.0,3.5189450923588192,3.474478963668481,1;230
helper1,2,127,150.0,3.550477998191701,3.480511112522789,1;127
helper1,2,175,150.0,3.683870856897875,3.683870856897875,1;175
helper1,3,284,300.0,5.116213436626018,5.117816319175599,1;230;284
helper1,3,235,300.0,5.418878234237899,5.418886030916558,1;230;235
helper1,3,279,300.0,5.731946309084643,5.52757819531095,1;230;279
helper1,3,73,300.0,5.173291295139948,5.645371119237934,1;127;73
helper1,3,128,300.0,5.502997322114972,5.710197464548695,1;127;128
helper1,3,66,300.0,5.745794425258333,5.742317624756018,1;127;66
helper1,3,236,300.0,6.248731166707266,6.248731166707266,1;175;236
helper1,3,133,300.0,6.291925766756232,6.28284340476538,1;175;133
helper1,4,290,450.0,3.928672597479105,6.766370638544936,1;230;235;290
helper1,4,241,450.0,6.779015764867458,6.7791508957919415,1;230;235;241
helper1,4,344,450.0,3.5804064871615906,6.955333045872851,1;230;284;344
helper1,4,79,450.0,5.569651042091048,6.977847836538885,1;127;128;79
helper1,4,134,450.0,6.3638297135678625,6.977847836538885,1;127;128;134
helper1,4,289,450.0,3.9922760544227818,7.134002532647561,1;230;284;289
helper1,4,339,450.0,7.247252189412639,7.134002532647561,1;230;284;339
helper1,4,338,450.0,7.019281696059339,7.14386567879436,1;230;279;338
helper1,4,274,450.0,7.218983245099463,7.14386567879436,1;230;279;274
helper1,4,333,450.0,7.233389120599983,7.14386567879436,1;230;279;333
helper1,4,12,450.0,6.948914672927341,7.234421363926492,1;127;66;12
helper1,4,19,450.0,7.284568519119068,7.234421363926492,1;127;66;19
helper1,4,59,450.0,7.371816372402811,7.234421363926492,1;127;66;59
helper1,4,74,450.0,5.5189667056786575,7.243788564132864,1;127;73;74
helper1,4,25,450.0,6.32488651275808,7.243788564132864,1;127;73;25
helper1,4,18,450.0,7.166742874564183,7.243788564132864,1;127;73;18
helper1,4,285,450.0,7.76382490595699,7.495371016057578,1;175;236;285
helper1,4,79,450.0,5.760525744228191,7.499371803376841,1;175;133;79
helper1,4,134,450.0,7.120423576421591,7.499371803376841,1;175;133;134
helper1,4,72,450.0,7.881213437165077,7.499371803376841,1;175;133;72
helper1,5,350,600.0,0.9015324520641672,1.27616637860692,1;230;235;290;350
helper1,5,349,600.0,0.9022561151667817,1.2771946780700534,1;230;284;344;349
helper1,5,295,600.0,3.6759398065867193,3.6771773125425873,1;230;235;290;295
helper1,5,296,600.0,4.241073738598255,4.242429772036226,1;230;235;241;296
helper1,5,246,600.0,5.874285553927085,5.874125893788524,1;230;284;289;246
helper1,5,345,600.0,3.632207100437147,5.974441507305668,1;230;235;290;345
helper1,5,140,600.0,6.604495281341729,7.033351743045161,1;127;128;134;140
helper1,5,140,600.0,7.218698252052127,7.687402640595877,1;175;133;134;140
helper1,5,247,600.0,7.785944111761261,7.78605760675163,1;230;235;241;247
helper1,5,192,600.0,7.788385273527336,7.786119794079639,1;230;235;241;192
helper1,5,188,600.0,7.8014061341735745,7.799142479535349,1;127;128;134;188
helper1,5,31,600.0,1.811718344736913,7.948919786144514,1;127;128;79;31
helper1,5,24,600.0,7.216617452673944,7.948919786144514,1;127;128;79;24
helper1,5,80,600.0,0.8683035257204235,7.948919786144515,1;127;128;79;80
helper1,5,85,600.0,0.8701827760856332,7.948919786144515,1;127;128;134;85
helper1,5,343,600.0,4.137616668934196,8.230452535603607,1;230;279;338;343
helper1,5,221,600.0,8.496050752374748,8.230452535603607,1;230;279;274;221
helper1,5,327,600.0,8.619472081101533,8.230452535603607,1;230;279;274;327
helper1,5,328,600.0,8.619472081101533,8.230452535603607,1;230;279;333;328
helper1,5,5,600.0,8.548733027962797,8.281963739565365,1;127;66;12;5
helper1,5,6,600.0,8.548733027962797,8.281963739565365,1;127;66;59;6
helper1,5,20,600.0,8.717993226896674,8.281963739565365,1;127;66;19;20
helper1,5,112,600.0,8.736236660515805,8.281963739565365,1;127;66;59;112
helper1,5,80,600.0,0.8681162563174258,8.325559895403584,1;127;73;74;80
helper1,5,31,600.0,1.8113062424383954,8.325559895403584,1;127;73;74;31
helper1,5,26,600.0,1.8314276744462972,8.325559895403584,1;127;73;25;26
helper1,5,135,600.0,6.865868689083086,8.325559895403584,1;127;73;74;135
helper1,5,11,600.0,8.636200618211207,8.325559895403584,1;127;73;18;11
helper1,5,334,600.0,8.732423517502879,8.326405040049293,1;230;284;339;334
helper1,5,31,600.0,1.813317596061761,8.443681426280682,1;175;133;79;31
helper1,5,24,600.0,7.359601086736534,8.443681426280682,1;175;133;79;24
helper1,5,80,600.0,0.8689135352329599,8.443681426280683,1;175;133;79;80
helper1,5,85,600.0,0.8708141018547058,8.443681426280683,1;175;133;134;85
helper1,5,18,600.0,8.965662762390828,8.443681426280683,1;175;133;72;18
helper1,5,65,600.0,9.01973486948366,8.443681426280683,1;175;133;72;65
helper1,5,25,600.0,9.0445517034941,8.443681426280683,1;175;133;72;25
helper1,5,344,600.0,4.190114310270792,8.451927041089471,1;175;236;285;344
helper1,5,280,600.0,8.750954327557992,8.451927041089471,1;175;236;285;280
helper1,5,339,600.0,9.144249437071911,8.451927041089471,1;175;236;285;339
helper1,6,300,750.0,2.806247318386968,3.6309604702006055,1;230;284;344;349;300
helper1,6,355,750.0,1.0540720205556289,3.8171413940135346,1;230;284;344;349;355
helper1,6,355,750.0,1.0541533586728653,3.819964510092837,1;230;235;290;350;355
helper1,6,301,750.0,3.619002436849338,5.228550568705083,1;230;235;290;295;301
helper1,6,252,750.0,5.631713810621022,5.229584568455811,1;230;235;290;295;252
helper1,6,356,750.0,1.0877389143568847,5.2330642601947615,1;230;235;290;295;356
helper1,6,351,750.0,0.9038595514408775,5.724762845676676,1;230;235;241;296;351
helper1,6,340,750.0,5.344464144998245,7.129791476201308,1;230;235;290;345;340
helper1,6,247,750.0,7.172291684123671,7.1712491747778015,1;230;284;289;246;247
helper1,6,192,750.0,7.229725498884136,7.174821368738712,1;230;284;289;246;192
helper1,6,141,750.0,3.5724449527587536,7.32162573381974,1;127;128;79;80;141
helper1,6,141,750.0,3.572596682629587,7.571723165538965,1;175;133;79;80;141
helper1,6,141,750.0,3.572400204005939,7.639348014264413,1;127;73;74;80;141
helper1,6,91,750.0,3.556039440583814,7.9507263880042425,1;127;128;134;140;91
helper1,6,91,750.0,3.5899134856152264,8.606483398239602,1;175;133;134;140;91
helper1,6,302,750.0,4.418925400883024,8.631284862856335,1;230;235;241;247;302
helper1,6,253,750.0,8.63117806965065,8.631284862856335,1;230;235;241;247;253
helper1,6,198,750.0,8.983649141870297,8.631284862856335,1;230;235;241;247;198
helper1,6,145,750.0,7.982796971186656,8.631370481544483,1;230;235;241;192;145
helper1,6,138,750.0,8.516781654630309,8.631370481544483,1;230;235;241;192;138
helper1,6,193,750.0,8.634519154403712,8.631370481544483,1;230;235;241;192;193
helper1,6,193,750.0,8.655985387784547,8.652881907581351,1;127;128;134;188;193
helper1,6,248,750.0,8.934364937412653,8.652881907581351,1;127;128;134;188;248
helper1,6,243,750.0,9.044804239610924,8.652881907581351,1;127;128;134;188;243
helper1,6,188,750.0,8.02177555205059,8.707005380848557,1;127;73;74;135;188
helper1,6,37,750.0,1.1701695434699915,8.77386758429979,1;127;128;79;80;37
helper1,6,32,750.0,1.1927882807394032,8.77386758429979,1;127;128;79;31;32
helper1,6,30,750.0,1.5986292019739758,8.77386758429979,1;127;128;134;85;30
helper1,6,86,750.0,2.5371490831073378,8.77386758429979,1;127;128;79;80;86
helper1,6,17,750.0,8.516429342749642,8.77386758429979,1;127;128;79;24;17
helper1,6,349,750.0,0.9031302274919261,9.108988242497366,1;230;279;338;343;349
helper1,6,294,750.0,3.710472682750201,9.108988242497366,1;230;279;338;343;294
helper1,6,169,750.0,9.783081732737992,9.108988242497366,1;230;279;274;221;169
helper1,6,26,750.0,1.84748293567857,9.141045392761027,1;127;66;19;20;26
helper1,6,75,750.0,6.609899238212794,9.141045392761027,1;127;66;19;20;75
helper1,6,165,750.0,9.835597178418064,9.141045392761027,1;127;66;59;112;165
helper1,6,81,750.0,0.8502960740917854,9.201154832459105,1;127;73;25;26;81
helper1,6,86,750.0,2.537081724797936,9.201154832459105,1;127;73;74;80;86
helper1,6,140,750.0,7.329689613329731,9.201154832459105,1;127;73;74;135;140
helper1,6,37,750.0,1.1701679964654073,9.201154832459107,1;127;73;74;80;37
helper1,6,32,750.0,1.1927548254221887,9.201154832459107,1;127;73;74;31;32
helper1,6,58,750.0,9.670977993099628,9.201154832459107,1;127;73;18;11;58
helper1,6,5,750.0,9.68545788171021,9.201154832459107,1;127;73;18;11;5
helper1,6,37,750.0,1.1701744755802195,9.248180055255899,1;175;133;79;80;37
helper1,6,32,750.0,1.1929037867370003,9.248180055255899,1;175;133;79;31;32
helper1,6,30,750.0,1.5986538177646221,9.248180055255899,1;175;133;134;85;30
helper1,6,26,750.0,1.8503974021209413,9.248180055255899,1;175;133;72;25;26
helper1,6,17,750.0,8.677079006596271,9.248180055255899,1;175;133;79;24;17
helper1,6,59,750.0,9.922064343215535,9.248180055255899,1;175;133;72;65;59
helper1,6,11,750.0,10.090738473289669,9.248180055255899,1;175;133;72;18;11
helper1,6,12,750.0,10.090738473289669,9.248180055255899,1;175;133;72;65;12
helper1,6,118,750.0,10.160856817600552,9.248180055255899,1;175;133;72;65;118
helper1,6,86,750.0,2.53736691579101,9.2481800552559,1;175;133;79;80;86
helper1,6,275,750.0,9.727298984756512,9.25418229305771,1;230;284;339;334;275
helper1,6,328,750.0,9.789332653358233,9.25418229305771,1;230;284;339;334;328
helper1,6,349,750.0,0.903274328958878,9.262825825611529,1;175;236;285;344;349
helper1,6,274,750.0,9.57573958938878,9.26282582561153,1;175;236;285;280;274
helper1,6,227,750.0,9.951827879786158,9.26282582561153,1;175;236;285;280;227
helper1,6,334,750.0,10.090769219388436,9.26282582561153,1;175;236;285;339;334
helper1,6,333,750.0,10.09155820790196,9.26282582561153,1;175;236;285;280;333
helper1,7,92,900.0,2.688990518039285,2.863868315289014,1;127;73;74;80;86;92
helper1,7,86,900.0,2.535399445973596,3.586059409234602,1;127;73;25;26;81;86
helper1,7,87,900.0,2.5951688380755273,3.6705570908433818,1;127;73;74;31;32;87
helper1,7,87,900.0,2.5951887861193907,3.670585296223165,1;175;133;79;31;32;87
helper1,7,141,900.0,3.5604232252526273,3.7918652361350933,1;127;73;25;26;81;141
helper1,7,306,900.0,2.865077790592932,4.052257490356726,1;230;284;344;349;355;306
helper1,7,306,900.0,2.865079550395087,4.0522599785145825,1;230;235;290;350;355;306
helper1,7,252,900.0,4.709808604863923,4.896791771901133,1;230;284;344;349;300;252
helper1,7,301,900.0,3.516195800156068,4.97298819469702,1;230;284;344;349;300;301
helper1,7,91,900.0,3.5999609491674063,5.091398843878385,1;127;73;74;135;140;91
helper1,7,91,900.0,3.6425631379542276,5.1516440321138175,1;230;235;241;192;145;91
helper1,7,307,900.0,5.116183505826338,5.424630153063236,1;230;235;290;295;301;307
helper1,7,245,900.0,5.02773114477416,5.680438878748029,1;230;284;344;349;300;245
helper1,7,258,900.0,5.727385812470263,5.728911632046209,1;230;235;290;295;301;258
helper1,7,362,900.0,1.2192125372327902,6.037022646277125,1;230;235;290;295;301;362
helper1,7,302,900.0,4.413219525206112,6.241482386501251,1;230;284;289;246;247;302
helper1,7,361,900.0,1.175909541033096,6.346485387097709,1;230;284;344;349;355;361
helper1,7,361,900.0,1.1759121659360987,6.347598501286671,1;230;235;290;350;355;361
helper1,7,189,900.0,6.059035044370337,6.392159460990314,1;127;73;74;80;141;189
helper1,7,189,900.0,6.059048953990252,6.392175146309435,1;127;128;79;80;141;189
helper1,7,189,900.0,6.059095401192802,6.392227576455036,1;175;133;79;80;141;189
helper1,7,357,900.0,1.092690537959367,6.428921728837476,1;230;235;241;247;302;357
helper1,7,253,900.0,6.832295317883621,6.834309264842403,1;230;235;290;295;252;253
helper1,7,361,900.0,1.1769535215062252,6.949897780073364,1;230;235;290;295;356;361
helper1,7,198,900.0,7.207422591144291,7.205842095667298,1;230;235;290;295;252;198
helper1,7,191,900.0,7.328930850951089,7.205842095667298,1;230;235;290;295;252;191
helper1,7,346,900.0,2.827342087830923,7.627263747848539,1;230;235;241;296;351;346
helper1,7,145,900.0,7.42082566346325,7.902643679679592,1;230;284;289;246;192;145
helper1,7,193,900.0,8.40244778672878,8.403791489197001,1;230;284;289;246;192;193
helper1,7,138,900.0,8.126643899886934,8.462756545789631,1;230;284;289;246;192;138
helper1,7,334,900.0,6.486453776304301,8.666507921251736,1;230;235;290;345;340;334
helper1,7,281,900.0,7.223847490889527,8.666507921251736,1;230;235;290;345;340;281
helper1,7,193,900.0,9.326764663264195,9.32938078931995,1;127;73;74;135;188;193
helper1,7,248,900.0,8.931538742199157,9.35800267721839,1;127;73;74;135;188;248
helper1,7,259,900.0,9.3795010145814,9.38219532932745,1;230;235;241;247;253;259
helper1,7,199,900.0,9.382607143944947,9.382709358853166,1;230;235;241;192;193;199
helper1,7,199,900.0,9.408617846869683,9.408716461749629,1;127;128;134;188;193;199
helper1,7,36,900.0,1.227245265638509,9.510179254844745,1;127;128;134;140;91;36
helper1,7,43,900.0,1.4552552658871705,9.510179254844745,1;127;128;134;140;91;43
helper1,7,81,900.0,0.8503258335675552,9.62493078642103,1;127;66;19;20;26;81
helper1,7,81,900.0,0.8503491725862775,9.62519446676045,1;175;133;72;25;26;81
helper1,7,199,900.0,9.734100359104078,9.734192050309993,1;230;235;241;247;198;199
helper1,7,80,900.0,0.8701756771404723,9.849191239130649,1;127;66;19;20;75;80
helper1,7,84,900.0,0.8715417223294417,9.852142286387583,1;230;235;241;192;145;84
helper1,7,85,900.0,0.8721577922774055,9.857617342062646,1;230;235;241;192;138;85
helper1,7,36,900.0,1.2275171536135512,9.930933313445758,1;175;133;134;140;91;36
helper1,7,43,900.0,1.455525342089055,9.930933313445758,1;175;133;134;140;91;43
helper1,7,254,900.0,10.07096520159529,10.07383134977244,1;230;235;241;192;193;254
helper1,7,254,900.0,10.098774701749937,10.099235926583274,1;127;128;134;188;193;254
helper1,7,291,900.0,4.382709505790636,10.112231903787785,1;127;128;134;188;243;291
helper1,7,297,900.0,4.45442060609599,10.112231903787785,1;127;128;134;188;248;297
helper1,7,296,900.0,4.483455268189545,10.112231903787785,1;127;128;134;188;243;296
helper1,7,238,900.0,9.804180800525895,10.112231903787785,1;127;128;134;188;243;238
helper1,7,308,900.0,9.854395259169488,10.212351706003403,1;230;235;241;247;253;308
helper1,7,204,900.0,10.216667429871032,10.216746137239765,1;230;235;241;247;253;204
helper1,7,78,900.0,6.477704265064344,10.216782105303176,1;230;235;241;192;138;78
helper1,7,131,900.0,9.426449655538244,10.216782105303176,1;230;235;241;192;138;131
helper1,7,38,900.0,1.3947422680070447,10.249331489821836,1;127;128;79;31;32;38
helper1,7,11,900.0,9.493062192176772,10.249331489821836,1;127;128;79;24;17;11
helper1,7,64,900.0,9.699781939973953,10.249331489821836,1;127;128;79;24;17;64
helper1,7,38,900.0,1.3970652362869185,10.249331489821838,1;127;128;79;80;37;38
helper1,7,43,900.0,1.443070447120259,10.249331489821838,1;127;128;79;80;86;43
helper1,7,23,900.0,4.091101165986767,10.249331489821838,1;127;128;134;85;30;23
helper1,7,38,900.0,1.397065174903129,10.48309247457768,1;127;73;74;80;37;38
helper1,7,112,900.0,10.519291274928232,10.48309247457768,1;127;73;18;11;58;112
helper1,7,117,900.0,10.73361146475953,10.48309247457768,1;127;73;18;11;58;117
helper1,7,38,900.0,1.3947399044482733,10.483092474577681,1;127;73;74;31;32;38
helper1,7,43,900.0,1.4430700085042012,10.483092474577681,1;127;73;74;80;86;43
helper1,7,136,900.0,3.624487812431406,10.483092474577681,1;127;73;25;26;81;136
helper1,7,355,900.0,1.0540756381265957,10.533531839896964,1;230;279;338;343;349;355
helper1,7,300,900.0,2.735042206166449,10.533531839896964,1;230;279;338;343;349;300
helper1,7,295,900.0,3.6355060989022667,10.533531839896964,1;230;279;338;343;294;295
helper1,7,246,900.0,5.55432623455321,10.533531839896964,1;230;279;338;343;294;246
helper1,7,114,900.0,10.701031333610386,10.533531839896964,1;230;279;274;221;169;114
helper1,7,1,900.0,10.759245765337885,10.533531839896964,1;230;279;274;221;169;1
helper1,7,121,900.0,10.763607487169436,10.533531839896964,1;230;279;274;221;169;121
helper1,7,239,900.0,5.59738452394311,10.533531839896966,1;230;279;338;343;294;239
helper1,7,32,900.0,1.1933420459563526,10.544035713583407,1;127;66;19;20;26;32
helper1,7,135,900.0,7.45066879747863,10.544035713583407,1;127;66;19;20;75;135
helper1,7,130,900.0,7.8737774244522125,10.544035713583407,1;127;66;19;20;75;130
helper1,7,224,900.0,10.719613755924824,10.544035713583407,1;127;66;59;112;165;224
helper1,7,219,900.0,10.816564675221116,10.544035713583407,1;127;66;59;112;165;219
helper1,7,1,900.0,10.843595857106342,10.544035713583407,1;127;66;59;112;165;1
helper1,7,221,900.0,10.553280252852812,10.644333788480907,1;230;284;339;334;275;221
helper1,7,228,900.0,10.805197331712288,10.644333788480907,1;230;284;339;334;275;228
helper1,7,32,900.0,1.1935109149980303,10.687570717821313,1;175;133;72;25;26;32
helper1,7,38,900.0,1.394750405794627,10.687570717821313,1;175;133;79;31;32;38
helper1,7,38,900.0,1.3970654315508306,10.687570717821313,1;175;133;79;80;37;38
helper1,7,23,900.0,4.091114701027609,10.687570717821313,1;175;133;134;85;30;23
helper1,7,11,900.0,9.662403495114097,10.687570717821313,1;175;133;79;24;17;11
helper1,7,64,900.0,9.813661816030669,10.687570717821313,1;175;133;79;24;17;64
