arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,0.999999694097773,0.0,0.0,0.0,0.0
100.0,1,2,0.9999996940972223,91.64137775104385,40.02321681087721,91.64139216092732,40.02318381647228
200.0,1,2,0.9999995380225941,175.28089406535324,86.5892431978593,182.14000810625916,82.01400761082158
300.0,1,2,0.9999995889414384,274.0157139229493,102.44595621437219,279.88566819243187,103.12765093257889
400.0,1,2,0.9999995891987388,371.28242335473846,125.52555765129979,377.00769159820493,126.93783456332864
500.0,1,2,0.9999995891987292,468.36993941494393,149.48415122939525,474.09562230319233,150.89474809131042
600.0,1,2,0.9999995892063587,561.0901554687647,186.62987069380821,566.5292057433227,188.9070574447442
700.0,1,2,0.9999995927061511,647.0523107450592,146.47119422266536,647.0697696607461,140.7458311876182
800.0,1,2,0.9999993306388764,742.1378199286669,115.61340304430395,746.3623023930343,130.69405358062104
900.0,1,2,0.999999169339911,840.3010167377927,100.70332213292055,845.6464831981891,119.95406128133727
1000.0,1,2,0.9999992705583688,939.3146464065616,108.35397463802255,945.2061348048279,124.70526412377784
1100.0,1,2,0.9999994874604212,1037.7132102361322,125.9367571866871,1044.822973550757,133.42008240703586
1200.0,1,2,0.9999994500919132,1134.702251500687,150.29093289810237,1144.3065066044683,143.55709665328865
1300.0,1,2,0.9999991963434051,1233.473599789329,165.79096931083095,1244.1194387326289,149.67089906907177
1400.0,1,2,0.9999993368920447,1333.2522278121933,168.16203185952176,1343.8552688482928,156.89245967848098
1500.0,1,2,0.9999994651219194,1433.0369199461613,165.75050766944062,1443.6911304993682,162.3772389891108
1600.0,1,2,0.9999992669556808,1531.824793195139,152.57958716599424,1543.6410205898842,165.45925952179843
1700.0,1,2,0.9999993532924073,1630.468838331115,163.1049292083424,1643.5124608462258,170.45626233886313
