agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,59.9278990471124,102.90803323881381
1,3,98.27026120657244,115.19173176604042
1,4,197.50995160733996,127.45608403223008
1,5,296.41961252428973,112.7183633078143
1,6,395.1393284745624,128.6808819780346
1,7,493.84673607742565,144.6527976715049
1,8,535.4015325501014,116.36234728423024
1,9,639.8414041737601,122.5987518533201
1,10,757.2498610618272,102.16785683408125
1,11,819.9273214043056,113.9044736647398
1,12,932.2324727971428,157.3514204425189
1,13,1058.3977717304324,169.58488751913745
1,14,1109.0698368662981,175.53915894760684
1,15,1208.8965390615863,181.49137944123933
1,16,1297.6206519000052,135.36589333556742
1,17,1386.3420811555552,89.26577786870223
1,18,1475.032367062523,43.09048724261638
1,19,1436.6022385360343,-49.2123145354911
1,20,1397.8857722962514,-147.47370030359852
1,21,1298.039777460724,-110.6641271620198
1,22,1324.6842224434124,-12.568481926090797
1,23,1380.0467785366347,68.78379555149453
1,24,1416.7971547419793,149.0111131479384
1,25,1417.5715262185292,150.40102062931172
2,1,0.0,0.0
2,2,-38.179860824797586,102.91633509027506
2,3,98.26938088281501,115.19885860361082
2,4,197.5099896969095,127.46063430543931
2,5,296.4195592118179,106.19435977860398
2,6,395.1387386457596,128.69131916334135
2,7,493.84959704346306,144.65864488478633
2,8,533.449039795622,113.90943717691434
2,9,648.119267947701,122.60019610148942
2,10,754.9666185311561,101.27038766572933
2,11,819.9276337524439,113.90409028776519
2,12,932.0570115356944,157.35220302497387
2,13,1058.399671583169,169.5850906170187
2,14,1109.0698492522602,175.53921212788325
2,15,1208.8968494081355,181.49171814054236
2,16,1297.6208232407464,135.36612516312138
2,17,1386.3420547235378,89.26565009573797
2,18,1475.0336176280593,43.09080068777945
2,19,1436.5996726256917,-49.21042361859557
2,20,1397.883767979802,-147.7415819762491
2,21,1298.0220882624571,-110.66968562804826
2,22,1324.856784112762,-12.619257046546775
2,23,1370.5204666629788,65.1912734869636
2,24,1396.9661842652706,139.40948035678073
2,25,1400.0,173.20508075688772
