landmark_id,x,y,c11,c12,c21,c22
1,2250.0,-320.0,2.0,0.0,0.0,1.6
2,1250.0,-320.0,1.0,0.0,0.0,0.8
3,550.0,300.0,3.0,0.0,0.0,2.4
