arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,0.999999694097773,0.0,0.0,0.0,0.0
100.0,1,2,0.9999546021312976,100.0,0.0,49.999999999999986,86.60254037844388
200.0,1,2,0.998238358364639,150.0,-86.60254037844388,149.99999999999997,86.6025403784439
300.0,1,2,0.998238358364639,250.0,-86.6025403784439,250.0,86.6025403784439
400.0,1,2,0.998238358364639,350.0,-86.6025403784439,350.0,86.6025403784439
500.0,1,2,0.998238358364639,450.0,-86.6025403784439,450.0,86.6025403784439
600.0,1,2,0.998238358364639,550.0,-86.6025403784439,550.0,86.6025403784439
700.0,1,2,0.998238358364639,650.0,-86.6025403784439,650.0,86.6025403784439
800.0,1,2,0.8546122373991332,700.0,-173.2050807568877,750.0,86.6025403784439
900.0,1,2,0.8546122373991332,800.0,-173.2050807568877,850.0,86.6025403784439
1000.0,1,2,0.8546122373991332,900.0,-173.2050807568877,950.0,86.6025403784439
1100.0,1,2,0.8546122373991332,1000.0,-173.2050807568877,1050.0,86.6025403784439
1200.0,1,2,0.0011186708776546983,1050.0,-259.8076211353316,1100.0,173.2050807568878
1300.0,1,2,0.0011186708776546983,1150.0,-259.8076211353316,1200.0,173.2050807568878
1400.0,1,2,0.0011186708776546983,1250.0,-259.8076211353316,1300.0,173.2050807568878
1500.0,1,2,0.0011186708776546983,1350.0,-259.8076211353316,1400.0,173.2050807568878
1600.0,1,2,0.08943867332374268,1450.0,-259.8076211353316,1450.0,86.6025403784439
1700.0,1,2,0.8546122373991332,1500.0,-173.2050807568877,1550.0,86.6025403784439
1800.0,1,2,0.8546122373991332,1600.0,-173.2050807568877,1650.0,86.6025403784439
1900.0,1,2,0.08943900216390017,1700.0,-173.2050807568877,1700.0,173.205
