arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,1.0,0.0,0.0,0.0,0.0
100.0,1,2,0.999999999999839,74.22282789051295,-67.01113036601016,89.15428359468663,-45.29355355176002
200.0,1,2,0.9999999993913693,151.82990588420157,-129.91054238302783,178.09901807823843,-90.99677954351624
300.0,1,2,0.9999901863814926,231.11377007136716,-190.77095813489265,269.65778771293026,-130.9410007724282
400.0,1,2,0.9117598515784924,320.1766945958927,-234.95885232504133,367.0169862201715,-153.27399828059887
500.0,1,2,0.009549399193466283,416.4291600216694,-262.0144120286386,466.4108158803205,-162.22797751771373
700.0,1,2,0.00014007113263022052,607.3511888880486,-238.4835175493712,663.3640989840558,-129.89598757085764
800.0,1,2,0.09584898034462526,696.408727643076,-193.0659483663308,761.2788153946556,-109.72651385510821
900.0,1,2,0.2602874298134201,786.5064634702275,-149.8793942041747,853.9441451779214,-72.54107915594278
1000.0,1,2,0.006736862061011769,882.8045343559908,-123.56884553861613,944.0755330380855,-29.23749727084018
