arc_dist,agent,landmark_id,quality,xa,ya,xl,yl
402.08046243331063,1,3,2.65272809256184e-6,352.05823489691375,84.51656798737469,550.0,300.0
497.9362562148886,1,3,9.809496598485237e-5,447.9140286784916,84.51656326723291,550.0,300.0
400.63941008769075,2,3,2.6848961137530857e-6,347.8720218703135,88.68847664028242,550.0,300.0
597.9362618579179,1,3,0.06910397898710108,497.9140282634814,171.11911040129186,550.0,300.0
504.85267990269426,2,3,0.0001419967077216351,452.0852916790878,88.68961608915922,550.0,300.0
697.9362615036116,1,3,0.9790548709166219,547.9140248341004,257.72165235057207,550.0,300.0
604.8529298872662,2,3,0.000598156144221386,552.0855415499097,88.69438579180853,550.0,300.0
699.7230889369555,2,3,0.0001680605749493456,646.9272285913962,91.01849362882307,550.0,300.0
797.9362648154233,1,3,0.3909177262813625,647.9140281459121,257.72165066694225,550.0,300.0
804.6500049418239,2,3,3.7491615507449097e-6,751.7660228599135,95.31790272964395,550.0,300.0
900.0845238934869,1,3,0.0013274351804734355,702.0829209638097,171.11912250775788,550.0,300.0
998.0666241479965,1,3,2.6560490621856395e-6,747.9140280629438,84.51657293586322,550.0,300.0
