arc_dist,agent,landmark_id,quality,xa,ya,xl,yl
379.1065448730873,2,3,1.8584496041717626e-6,344.0909353799413,84.66860395194739,550.0,300.0
399.0627487272929,2,3,4.740924188572297e-6,364.0295972162251,85.5051662323127,550.0,300.0
418.6977081530474,2,3,1.2030664533497948e-5,383.5628531309142,87.50104824843704,550.0,300.0
437.7732412456222,2,3,3.0784941961936574e-5,402.29132807569954,91.12322839421448,550.0,300.0
456.2060434953928,2,3,8.111534029303675e-5,419.8156470022718,96.83868506353919,550.0,300.0
474.14925637246864,2,3,0.00022612829874127312,435.73643486232214,105.11439665030528,550.0,300.0
492.06640845854497,2,3,0.0006833184067589416,449.7899462878401,116.22849380160034,550.0,300.0
510.4228256224259,2,3,0.0022270845023350957,462.2549546320111,129.70371617728563,550.0,300.0
529.3336896175315,2,3,0.007668965381365882,473.5458629283194,144.87395569041593,550.0,300.0
548.655149843177,2,3,0.02698945154496385,484.0770742102493,161.07310425404594,550.0,300.0
568.0986856174271,2,3,0.0913378284290497,494.2629915112849,177.63505378123048,550.0,300.0
587.336729053851,2,3,0.26337791869733335,504.52192236411605,193.90947091422052,550.0,300.0
606.1264385974902,2,3,0.5480674688003396,515.287792298255,209.30912121205293,550.0,300.0
624.3428350906252,2,3,0.790171521768979,526.9984313424192,223.26254496296082,550.0,300.0
642.0599092169431,2,3,0.9085737739411062,540.0916695253266,235.1982824551772,550.0,300.0
659.6603707708917,2,3,0.9504818383658122,555.0053368756943,244.54487397693526,550.0,300.0
677.7364508640492,2,3,0.9559154063909387,571.9546774813501,250.82695361410217,550.0,300.0
696.3113920857015,2,3,0.9301376169432785,590.2645916665587,253.95353064308145,550.0,300.0
715.0842093490958,2,3,0.8421454673925476,609.0373938146942,253.92970813791058,550.0,300.0
733.6940380386383,2,3,0.6346910462452353,627.3753983091314,250.76058917262708,550.0,300.0
751.8322621647972,2,3,0.3465366550476369,644.3809195332447,244.45127682126858,550.0,300.0
769.5048866415316,2,3,0.14037969023895738,659.3768055957222,235.10007063720525,550.0,300.0
787.2852995424084,2,3,0.0484814916651886,672.5680395065066,223.17805609113793,550.0,300.0
805.5481011911129,2,3,0.015618628219429208,684.3801380008546,209.2495151330999,550.0,300.0
824.3674430573925,2,3,0.004843903357116241,695.2386178140227,193.87872971312464,550.0,300.0
843.6220143648455,2,3,0.001458858294300809,705.5689956812671,177.62998178124565,550.0,300.0
863.0734934885935,2,3,0.00042910610445241195,715.796092297965,161.0840899982582,550.0,300.0
882.4003576937135,2,3,0.00012460475455212407,726.3419441999741,144.88801986800627,550.0,300.0
901.3182962493302,2,3,3.622443204911644e-5,737.6278918832729,129.70527360509558,550.0,300.0
919.6853114504001,2,3,1.0695536595809997e-5,750.0752758438398,116.1993534241321,550.0,300.0
937.6161745736817,2,3,3.2454549388635076e-6,764.1054365776533,105.03376153972151,550.0,300.0
955.5626816291244,2,3,1.0172397501306887e-6,779.9878698507424,96.67760041053508,550.0,300.0
1031.933013402615,1,2,2.680472386990594e-6,988.0940891022775,-189.89219934224263,1250.0,-320.0
1050.0923509002687,1,2,8.941480840045142e-6,1003.5106119375517,-199.4886758843471,1250.0,-320.0
1068.424590578319,1,2,2.953341250890383e-5,1017.9998311004056,-210.71959479885615,1250.0,-320.0
1086.8791715235445,1,2,9.685802975549994e-5,1032.1820155202593,-222.52794789931596,1250.0,-320.0
1105.276410350788,1,2,0.0003175510099285337,1046.6774341265304,-233.856726999272,1250.0,-320.0
