arc_dist,agent,landmark_id,quality,xa,ya,xl,yl
387.4373359150364,2,3,1.3464435799683943e-6,337.69322619048916,84.13918246120774,550.0,300.0
496.95434760191193,2,3,7.91667981047316e-5,447.1736836801098,81.3098226950053,550.0,300.0
601.3241809106325,2,3,0.07510994356127748,497.5092441048724,172.73954139530096,550.0,300.0
698.8305241986319,2,3,0.9784872472984658,545.7585783407487,257.47140510188933,550.0,300.0
798.5784689657706,2,3,0.4182049813485985,645.5015471759637,256.47508527095715,550.0,300.0
896.9912102936969,2,3,0.0018485750754501983,696.5934919996874,172.3639633559162,550.0,300.0
1097.4557949387527,1,2,2.980747611604963e-6,997.4234161462263,-175.78213478293293,1250.0,-320.0
1000.4710674485319,2,3,2.496735426741074e-6,745.7586085568538,81.30973692624785,550.0,300.0
1199.7100638429226,1,2,0.0013220214014266433,1061.2533271025125,-255.66754006098662,1250.0,-320.0
1298.582722491464,1,2,0.38621716723889954,1159.897570066782,-262.38438144940307,1250.0,-320.0
1400.5594399169263,1,2,0.9396253781773719,1261.8742874920488,-262.38458113509944,1250.0,-320.0
1500.5017632090726,1,2,0.15197876625302167,1361.8166107841926,-262.3846036992671,1250.0,-320.0
1600.5687570653486,1,1,3.2374219570091815e-6,1461.883604640328,-262.38443606123667,1750.0,-233.0
1600.5687570653486,1,2,0.00034493012385087825,1461.883604640328,-262.38443606123667,1250.0,-320.0
1695.8502101717986,1,1,0.0017657872768413784,1557.1650577463242,-262.38414201337434,1750.0,-233.0
1786.5902395090202,1,1,0.4252761668894073,1647.423522050081,-253.04805366507114,1750.0,-233.0
1878.6235268982905,1,1,0.8155164110803238,1697.4235857340336,-175.78150450389342,1750.0,-233.0
1978.622736230709,1,1,0.0510334891998268,1747.423294310048,-89.179708856098,1750.0,-233.0
