── constraint sweep rect_r5 ──
  methods: hexspline_cl
  ladder:  100, 90, 80, 70, 60, 50, 40, 30%   patience=0   method_patience=0   timeout=1800s
  scenarios: the fixed preset `ladder_r5` (n_scenarios and the geometry ranges are ignored)
  output:  /home/tony-zhang/Research/landmark_planning/fig2_ladder/rect_r5
  s001: scenario=ladder_r5  L_ref=1714.3 U_ref=13.75  (17.1s)  [1/1]
    s001 p100  hexspline_cl      ok   ratio=1.0127   23.4s
    s001 p90  hexspline_cl      ok   ratio=1.0125   23.4s
    s001 p80  hexspline_cl      ok   ratio=1.0127   23.4s
    s001 p70  hexspline_cl      ok   ratio=1.0271   17.6s
    s001 p60  hexspline_cl      ok   ratio=1.0478   19.2s
    s001 p50  hexspline_cl      ok   ratio=1.0597   18.4s
    s001 p40  hexspline_cl      ok   ratio=1.1163   29.2s
    s001 p30  hexspline_cl      ok   ratio=1.1163   28.7s
── done: /home/tony-zhang/Research/landmark_planning/fig2_ladder/rect_r5 ──
