method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,1,1,1.000,1.0127,1.0127,23.4,23.4,1.370,1.370
hexspline_cl,90,1,1,1.000,1.0125,1.0125,23.4,23.4,1.368,1.368
hexspline_cl,80,1,1,1.000,1.0127,1.0127,23.4,23.4,1.371,1.371
hexspline_cl,70,1,1,1.000,1.0271,1.0271,17.6,17.6,1.032,1.032
hexspline_cl,60,1,1,1.000,1.0478,1.0478,19.2,19.2,1.124,1.124
hexspline_cl,50,1,1,1.000,1.0597,1.0597,18.4,18.4,1.078,1.078
hexspline_cl,40,1,1,1.000,1.1163,1.1163,29.2,29.2,1.707,1.707
hexspline_cl,30,1,1,1.000,1.1163,1.1163,28.7,28.7,1.679,1.679
