agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,98.15731001337166,-1.842724013973582
1,3,145.41685193386974,-88.44516101971365
1,4,245.26332043913126,-88.44523862595916
1,5,345.0449868319608,-88.44526778833635
1,6,448.1572677298515,-88.44528956335614
1,7,501.8427554849051,-167.15258230581716
1,8,598.1573341921755,-175.04776051372548
1,9,701.8456788729924,-175.04779405257125
1,10,798.1573081891057,-175.0478785377641
1,11,855.0291808517499,-261.50283018547367
1,12,954.9577915515379,-261.6503742817334
1,13,1054.904229285382,-261.65039049982795
1,14,1154.1957471493922,-261.65036505041815
1,15,1248.1573232644882,-261.6502931519476
1,16,1298.1573559751969,-175.04775477753725
1,17,1348.1572551791585,-88.44550251044284
2,1,0.0,0.0
2,2,47.40393279044726,79.46641529328566
2,3,145.8255462424283,83.21143149036918
2,4,245.15904896548693,90.21736440153212
2,5,345.10085598385945,91.28419760346412
2,6,445.16073889064626,91.39060653572204
2,7,545.071378426004,91.15255067858374
2,8,654.7601902342532,90.04677039334089
2,9,741.7161264007312,94.66887562059289
2,10,843.3374861174979,83.39805238850622
2,11,896.795469669927,165.93301230541027
2,12,1005.3835426255339,169.60445109153315
2,13,1104.1104462148994,167.005039288263
2,14,1203.843833449433,166.83009420785203
2,15,1255.1046430175106,83.39799815126227
2,16,1352.9717284266667,93.94150304407883
2,17,1400.0,173.20508075688772
