scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,formation_arc_drift,formation_offsets,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,7.2435,formation,formation,2,true,,751.4374266126622,5.847582849695338,1.1362,14.4,0.9527,23,751.437,"[6.0737, 5.8476]","[5.9447, 5.5497]",[82.2876],[-1],5.549714896581509,0.010140803992151948,optimized
s001,90,6.5192,formation,formation,2,true,,955.6530620349506,5.4624853080754106,1.4449,14.3,0.9481,149,955.653,"[5.3648, 5.4625]","[5.4718, 5.2885]",[82.2876],[-1],5.288519713654496,0.011274465479644651,optimized
s001,80,5.7948,formation,formation,2,true,,925.5486078323654,4.972711213515494,1.3994,15.4,1.0227,23871,925.549,"[3.6412, 4.9727]","[5.2085, 5.7156]",[-36.6025],[1],5.715631467498692,6.248864481764316e-8,optimized
s002,100,8.5710,formation,formation,2,true,,851.4442112136653,7.061486508511627,1.0671,15.2,1.0791,81,851.444,"[7.3293, 7.0615]","[7.4127, 7.0143]",[82.2876],[-1],7.014349025983496,0.010140802678365951,optimized
s002,90,7.7139,formation,formation,2,true,,1074.056857360911,7.4037993142350444,1.3461,16.9,1.1965,94282,1074.057,"[3.7036, 7.4038]","[5.9685, 8.1313]",[82.2876],[-1],8.131302315248691,6.70146668713123e-9,optimized
s002,80,6.8568,formation,formation,2,true,,1023.5676730489349,6.795909850841202,1.2829,18.0,1.2756,94282,1023.568,"[2.8582, 6.7959]","[5.9685, 8.1313]",[82.2876],[-1],8.131302315248691,4.847260369478246e-8,optimized
s004,100,8.8480,formation,formation,2,true,,949.6986006013659,8.001348438544664,1.0817,14.9,1.0485,42,949.699,"[8.043, 8.0013]","[7.9331, 7.6501]",[82.2876],[-1],7.6501460854593235,0.011189323562628846,optimized
s004,90,7.9632,formation,formation,2,true,,1250.7297767793223,3.590202467240073,1.4245,13.9,0.9746,844,1250.73,"[3.7105, 3.5902]","[3.7543, 3.3966]",[82.2876],[1],3.3965543596392913,0.011606935487261242,optimized
s004,80,7.0784,formation,formation,2,true,,1250.7297767820544,3.5901988579833617,1.4245,13.8,0.9711,844,1250.73,"[3.7105, 3.5902]","[3.7543, 3.3966]",[82.2876],[1],3.3965543596392913,0.011606935486879402,optimized
s005,100,3.8433,formation,formation,2,true,,951.4477277961786,2.9739220947134237,1.0763,14.7,1.0258,91,951.448,"[2.265, 2.9739]","[2.386, 2.6817]",[82.2876],[1],2.681748228690704,0.010140805991761457,optimized
s005,90,3.4589,formation,formation,2,true,,1504.3065524032552,2.9754721662432964,1.7017,15.2,1.0668,88268,1504.307,"[2.3263, 2.9755]","[2.3848, 2.6799]",[82.2876],[1],2.6798761547056675,0.011032232342546347,optimized
s005,80,3.0746,formation,formation,2,true,,1504.3065524231786,2.975415181998989,1.7017,15.1,1.0604,88268,1504.307,"[2.3263, 2.9754]","[2.3848, 2.6799]",[82.2876],[1],2.6798761547056675,0.01103223234010787,optimized
