arc_dist,agent,landmark_id,quality,xa,ya,xl,yl
515.5637605935532,1,3,3.806353099915795e-5,446.9980093903106,-89.60452973169446,650.0,-240.0
605.6635689492355,1,3,0.011155943420397151,503.00314325995174,-160.18356660507663,650.0,-240.0
701.0148863611372,1,3,0.7572146053883475,596.9984776590078,-176.20701328158356,650.0,-240.0
801.0294054077169,1,3,0.7995798764038352,697.0129967055747,-176.2070639750739,650.0,-240.0
919.268884778148,1,2,1.4152054743960403e-5,813.8472537751499,-194.3820703517174,1050.0,-320.0
919.268884778148,1,3,0.00926738449911514,813.8472537751499,-194.3820703517174,650.0,-240.0
975.7410611427969,1,2,0.00045407485637015405,869.8210008446774,-201.86848086387553,1050.0,-320.0
975.7410611427969,1,3,0.0002726859820576017,869.8210008446774,-201.86848086387553,650.0,-240.0
1108.088787763451,1,2,0.6903847888023819,966.5306237159217,-292.21874143769514,1050.0,-320.0
1225.7401489363574,1,1,9.863843146882687e-6,1084.1567425682276,-294.65573745347103,1350.0,-233.0
1225.7401489363574,1,2,0.9787759079787042,1084.1567425682276,-294.65573745347103,1050.0,-320.0
1328.3644132273316,1,1,0.007057188408146814,1186.777924568217,-293.86035943718025,1350.0,-233.0
1328.3644132273316,1,2,0.0680595004335454,1186.777924568217,-293.86035943718025,1050.0,-320.0
1430.38148715403,1,1,0.723711711895018,1288.7892230657174,-292.77484047402703,1350.0,-233.0
1430.38148715403,1,2,8.645945527221354e-5,1288.7892230657174,-292.77484047402703,1050.0,-320.0
1456.7928176609275,1,1,0.884885319566064,1315.1990997282699,-293.0519574409208,1350.0,-233.0
1456.7928176609275,1,2,1.504701526841743e-5,1315.1990997282699,-293.0519574409208,1050.0,-320.0
