arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,0.999999694097773,0.0,0.0,0.0,0.0
100.0,1,2,0.999951568881757,98.58881907190006,-5.15814722342367,49.88382898074511,83.65749917050849
200.0,1,2,0.9982362278783963,149.9605153036405,-89.38489891779422,149.88364580031376,83.84438036485214
300.0,1,2,0.9982315430411532,249.96051530337286,-89.38512243001881,249.88363179617033,83.89730321877957
400.0,1,2,0.9982565327495622,349.9605153026647,-89.38549775828515,349.8797698337221,83.6117936585677
500.0,1,2,0.9980143611579441,448.5888466791451,-91.7616327901716,448.3861172686499,83.84171080708977
600.0,1,2,0.08580586573284944,499.96228149689017,-175.98686525492323,496.8408427791529,171.31821951486685
700.0,1,2,0.0011143902246853856,599.9622814953034,-175.98742859908927,546.8070264348515,256.72661747845433
800.0,1,2,0.0012128279726576483,699.9622814951975,-175.98756090598616,646.2387533786641,254.9483104355109
900.0,1,2,0.0472503706792123,799.9622814951891,-175.98760187047458,697.8726717208821,169.31481257065872
1000.0,1,2,0.4965284429450365,899.962281494688,-175.987478670802,744.8850799019684,81.1462921488701
1100.0,1,2,0.4087736221150977,998.9317594794256,-178.13215398874922,844.6672361435897,87.735072267645
1200.0,1,2,0.039045979550094624,1061.441789402186,-256.12613959231567,944.6240279467041,88.68687098308767
1300.0,1,2,0.02996646451077012,1161.2318501901002,-262.59050911386055,1041.366902101757,86.97483086984928
1400.0,1,2,0.00038743907615776526,1261.2318501895543,-262.59083957168076,1100.1436145137277,165.1956848725376
1500.0,1,2,0.00035002149864379574,1361.2318501895445,-262.5908602721757,1200.1202434507932,167.3575512838421
1600.0,1,2,0.00033615176108916644,1461.2318501891227,-262.59057216562206,1300.1151584110398,168.2196734799561
1700.0,1,2,0.0003376680046984026,1561.2121949605169,-262.1958890309143,1400.114607194392,168.52537101399813
1800.0,1,2,0.0009656904794548879,1654.5646571096345,-242.19324738626509,1500.1145654829888,168.56272260019438
1900.0,1,2,0.10144434793531057,1707.8398245895803,-157.5895453826082,1600.114436342363,168.7136421832132
2000.0,1,2,0.8402135175333877,1747.2168882712847,-89.38728645140907,1699.9999903674538,173.2050802633645
