scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s001,100,14.9683,hexspline_cl,hexspline_cl,2,true,,1781.5789780716927,7.035045461866874,1.0117,28.1,1.7464,86580,1781.579,"[6.6307, 7.035]","[7.0623, 7.0862]",7.086151541850905,6.040165771992179e-7,optimized
s001,90,13.4715,hexspline_cl,hexspline_cl,2,true,,1781.5452159185752,7.032940770958329,1.0117,27.7,1.7268,86580,1781.545,"[6.6285, 7.0329]","[7.0623, 7.0862]",7.086151541850905,1.5569999050057959e-6,optimized
s001,80,11.9746,hexspline_cl,hexspline_cl,2,true,,1780.4335232783847,6.9955427834422474,1.0110,27.9,1.7342,86580,1780.434,"[6.6051, 6.9955]","[7.0623, 7.0862]",7.086151541850905,7.92388163972646e-6,optimized
s001,70,10.4778,hexspline_cl,hexspline_cl,2,true,,1782.8960825900072,7.049482759893636,1.0124,27.7,1.7210,86580,1782.896,"[6.6244, 7.0495]","[7.0623, 7.0862]",7.086151541850905,4.26023416366661e-6,optimized
s001,60,8.9810,hexspline_cl,hexspline_cl,2,true,,1783.7565494441803,7.061140070658898,1.0129,28.2,1.7558,86580,1783.757,"[6.6088, 7.0611]","[7.0623, 7.0862]",7.086151541850905,2.6038976557174465e-6,optimized
s001,50,7.4841,hexspline_cl,hexspline_cl,2,true,,1791.2313829370971,7.171041982346957,1.0172,25.9,1.6129,86580,1791.231,"[6.6613, 7.171]","[7.0623, 7.0862]",7.086151541850905,5.060736157247447e-6,optimized
s001,40,5.9873,hexspline_cl,hexspline_cl,2,true,,1893.187657906004,3.8849713508505386,1.0751,34.8,2.1686,413198,1893.188,"[1.6589, 3.885]","[1.6589, 3.885]",3.8849722220767253,0.011389504280938894,seed_only
s001,30,4.4905,hexspline_cl,hexspline_cl,2,true,,1893.187657906004,3.8849713508505386,1.0751,34.2,2.1299,413198,1893.188,"[1.6589, 3.885]","[1.6589, 3.885]",3.8849722220767253,0.011389504280938894,seed_only
