agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,98.01563264208728,-1.9843764116282647
1,3,147.99138853589727,-88.58705418446317
1,4,242.26744414348852,-88.58694176748696
1,5,351.15483966589426,-88.58694906855726
1,6,448.0156109814509,-88.58693404042151
1,7,498.01563283060756,-175.18953574694908
1,8,548.0155777835115,-261.8219605632255
1,9,648.0156290134473,-261.79208489332666
1,10,701.9706053284248,-171.23659886150273
1,11,642.2515944598546,-94.01719246265641
1,12,542.3958237523544,-93.57390210114475
1,13,442.368092657696,-93.1297807302417
1,14,342.13444925202487,-92.68466808520276
1,15,242.12351315567207,-92.22540747105838
1,16,142.12999679003397,-91.76612497296269
1,17,42.0346188298383,-91.30627039870001
1,18,-57.77729948763506,-78.85621160230671
1,19,-107.74205242555547,-8.171482254271293
2,1,0.0,0.0
2,2,47.946862268724615,-88.65198584983919
2,3,200.97817038742178,-84.4508391427595
2,4,246.10514325894925,-84.60900383325709
2,5,346.3970656575751,-84.627696599685
2,6,451.9721816824333,-84.64826535646255
2,7,551.9746135615811,-84.69213099372244
2,8,641.6953987025232,-95.31215874761232
2,9,750.6912685210381,-101.27544286866922
2,10,832.801129055131,-109.3808735386175
2,11,929.5030599152649,-114.89300684869008
2,12,1014.3963955340126,-124.8544654945821
2,13,1113.5792504753567,-131.82600243722038
2,14,1209.922398961778,-140.16366991134956
2,15,1309.2127771394366,-147.68801474009058
2,16,1408.281423673287,-154.61713247089463
2,17,1508.0301976047933,-161.14649020559114
2,18,1607.920478386444,-167.4235157434325
2,19,1700.0,-173.205
