agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,97.00041816940474,-3.001494577720649
1,3,117.62833503459741,-89.6018626654949
1,4,219.24116445601206,-89.60318109572808
1,5,316.4028579157657,-89.60412669200116
1,6,446.9979941745394,-89.60505920908767
1,7,503.0007566099423,-157.37713138939094
1,8,597.0006357778889,-176.20461274267885
1,9,697.1523461996535,-176.20843220717364
1,10,814.9194404308316,-193.9685936420766
1,11,872.0261767058662,-200.8519809459384
1,12,967.0637304204168,-289.83589900358277
1,13,1081.0932979121428,-291.25912521957497
1,14,1182.9495233335772,-290.7538641520195
1,15,1284.7479279609051,-289.2442633247829
1,16,1317.6404787106371,-290.0518928689121
2,1,0.0,0.0
2,2,46.8526301512283,24.509256903643028
2,3,119.94211756352885,38.712322586380004
2,4,218.74974072383608,62.68083317960233
2,5,317.76761123436586,73.52329977841643
2,6,423.8826889684186,89.04434208041293
2,7,519.1790071698928,97.24758585560012
2,8,640.889068326904,106.03131926377276
2,9,756.1180814937354,118.64322264332168
2,10,833.2144639221478,121.43029347818688
2,11,929.2348899909726,137.662841653184
2,12,1031.7153280616903,143.26423160795167
2,13,1133.660036089825,154.00574584224924
2,14,1234.406434193825,161.24057367893906
2,15,1334.2783668234742,168.58876162808684
2,16,1400.0,173.20508075688772
