method,pct,n_total,n_success,success_rate,mean_length_ratio,median_length_ratio,mean_wall_s,median_wall_s,mean_wall_ratio,median_wall_ratio
hexspline_cl,100,1,1,1.000,1.0071,1.0071,54.2,54.2,2.785,2.785
hexspline_cl,90,1,1,1.000,1.0069,1.0069,54.6,54.6,2.808,2.808
hexspline_cl,80,1,1,1.000,1.0071,1.0071,54.1,54.1,2.783,2.783
hexspline_cl,70,1,1,1.000,1.0075,1.0075,54.2,54.2,2.787,2.787
hexspline_cl,60,1,1,1.000,1.0205,1.0205,39.6,39.6,2.037,2.037
hexspline_cl,50,1,1,1.000,1.0186,1.0186,47.4,47.4,2.438,2.438
hexspline_cl,40,1,1,1.000,1.0170,1.0170,52.1,52.1,2.679,2.679
hexspline_cl,30,1,1,1.000,1.0919,1.0919,45.1,45.1,2.317,2.317
