arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,0.999999694097773,0.0,0.0,0.0,0.0
100.0,1,2,0.9999546021312976,49.999999999999986,86.60254037844388,100.0,0.0
200.0,1,2,0.998238358364639,149.99999999999997,86.6025403784439,150.0,-86.60254037844388
300.0,1,2,0.998238358364639,250.0,86.6025403784439,250.0,-86.6025403784439
400.0,1,2,0.998238358364639,350.0,86.6025403784439,350.0,-86.6025403784439
500.0,1,2,0.8546122373991332,450.0,86.6025403784439,400.00000000000006,-173.2050807568877
600.0,1,2,0.8546122373991332,550.0,86.6025403784439,500.0,-173.2050807568877
700.0,1,2,0.8546122373991332,650.0,86.6025403784439,600.0,-173.2050807568877
800.0,1,2,0.8546122373991332,750.0,86.6025403784439,700.0,-173.2050807568877
900.0,1,2,0.8546122373991332,850.0,86.6025403784439,800.0,-173.2050807568877
1000.0,1,2,0.046187567633078845,950.0,86.6025403784439,850.0,-259.8076211353316
1100.0,1,2,0.8546122373991332,1000.0,0.0,950.0,-259.8076211353316
1200.0,1,2,0.998238358364639,1050.0,-86.6025403784439,1050.0,-259.8076211353316
1300.0,1,2,0.998238358364639,1150.0,-86.6025403784439,1150.0,-259.8076211353316
1400.0,1,2,0.998238358364639,1250.0,-86.6025403784439,1250.0,-259.8076211353316
1500.0,1,2,0.998238358364639,1350.0,-86.6025403784439,1350.0,-259.8076211353316
1600.0,1,2,0.998238358364639,1400.0,0.0,1400.0,-173.2050807568877
1700.0,1,2,0.998238358364639,1350.0,86.6025403784439,1350.0,-86.6025403784439
1800.0,1,2,0.9999546021312976,1250.0,86.6025403784439,1300.0,0.0
1900.0,1,2,0.9999546021312976,1200.0,0.0,1250.0,86.6025403784439
2000.0,1,2,0.8546122373991325,1250.0,-86.6025403784439,1300.0,173.2050807568878
2100.0,1,2,0.8546122373991332,1350.0,-86.6025403784439,1400.0,173.20508075688772
