agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,77.9863589779374,132.90446554607283
1,3,125.46867966327416,262.7941531248315
1,4,302.9697236887891,262.77625515396727
1,5,377.99459353491767,194.98688883002646
1,6,482.0061413076241,194.91284301687853
1,7,588.462333759176,279.72180912626874
1,8,698.4080883161338,374.2529028471584
1,9,819.8414846791967,415.8542239255533
1,10,939.3442069749517,389.16889856329266
1,11,1093.8040122002988,320.56669546623016
1,12,1162.5791787435592,305.8798503021172
1,13,1351.1616413617085,254.3925846600935
1,14,1459.0539072581416,217.60102274530777
1,15,1556.0355502219118,184.59222690168164
2,1,0.0,0.0
2,2,84.84667400462983,6.824177412808
2,3,233.39503531044977,3.1531669700584724
2,4,381.1692067256586,31.424599275815105
2,5,526.9393769135214,-2.952251511775424
2,6,672.0006192780793,94.77381846670207
2,7,988.9600792050197,123.20736697871482
2,8,980.5232238227089,122.4435770510083
2,9,1002.9038492653891,124.07327149879963
2,10,1191.3622844685167,96.15724341876209
2,11,1347.0146038460764,-2.9432023349775993
2,12,1549.2669540118934,-2.9553460722178304
2,13,1613.6785655354613,3.1514092918671324
2,14,1688.4102734339249,4.743385489704589
2,15,1800.0,0.0
