── constraint sweep rect_r2 ──
  methods: hexspline_cl
  ladder:  100, 90, 80, 70, 60, 50, 40, 30%   patience=0   method_patience=0   timeout=1800s
  scenarios: the fixed preset `ladder_r2` (n_scenarios and the geometry ranges are ignored)
  output:  /home/tony-zhang/Research/landmark_planning/fig2_ladder/rect_r2
  s001: scenario=ladder_r2  L_ref=1713.3 U_ref=13.75  (16.5s)  [1/1]
    s001 p100  hexspline_cl      ok   ratio=1.0135   22.9s
    s001 p90  hexspline_cl      ok   ratio=1.0136   23.0s
    s001 p80  hexspline_cl      ok   ratio=1.0136   23.0s
    s001 p70  hexspline_cl      ok   ratio=1.0277   17.4s
    s001 p60  hexspline_cl      ok   ratio=1.0491   21.2s
    s001 p50  hexspline_cl      ok   ratio=1.0605   20.6s
    s001 p40  hexspline_cl      ok   ratio=1.1039   38.8s
    s001 p30  hexspline_cl      ok   ratio=1.1039   38.3s
── done: /home/tony-zhang/Research/landmark_planning/fig2_ladder/rect_r2 ──
