arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,0.999999694097773,0.0,0.0,0.0,0.0
100.0,1,2,0.9999530864336134,98.94815879832916,-3.8650867853416067,50.76733822336039,84.51145427402149
200.0,1,2,0.9982386645467161,149.97787521987559,-88.68410269879632,150.76733813338632,84.51569630388417
300.0,1,2,0.9982382548029807,249.9778752198756,-88.68410208885423,250.76733802278156,84.52035727945437
400.0,1,2,0.9982381999726089,349.9778752198756,-88.6841027507503,350.7673380207825,84.52098016809
500.0,1,2,0.9982381981131205,449.9778752198756,-88.68410215278968,450.76733802077985,84.52100191247213
600.0,1,2,0.9982381920682063,549.9778752198756,-88.68410197682299,550.7673380207532,84.52107083210029
700.0,1,2,0.9980729654476218,648.9481565853093,-90.46762762915691,650.7673340432742,84.52603552880132
800.0,1,2,0.8518812459748296,699.9778788716557,-175.2866414636633,750.7644874879653,84.81282592521191
900.0,1,2,0.8194468280122403,799.9778788716557,-175.28664267437904,850.6121446198542,89.66638968289901
1000.0,1,2,0.6840892628330193,899.9778788716557,-175.2866446958202,948.8472645084356,105.03285272058349
1100.0,1,2,0.8253424979896657,998.9481587902598,-177.07017330834952,1044.9258208972526,87.9111175721449
1200.0,1,2,0.00204180550815229,1049.9778778874982,-261.8891905121826,1109.3231632454708,157.77304987509785
1300.0,1,2,0.003254356127499652,1149.977877887498,-261.88918566248276,1208.8823530643754,148.39393890425742
1400.0,1,2,0.0030616439396124145,1249.977877887498,-261.8891858419552,1308.8277690485018,149.63898358111294
1500.0,1,2,0.0036641259002176477,1349.977877887498,-261.889185598197,1404.4092555168756,146.61024950414526
1600.0,1,2,0.2038548095882893,1449.977877887498,-261.889183748088,1462.0142084906317,65.13686104865634
1700.0,1,2,0.8735646105202134,1549.977877887498,-261.8891830245551,1521.7125718625573,-2.0791964899628077
1800.0,1,2,0.5929905531836615,1648.9481587772582,-260.10565764727045,1601.76839321635,28.537059558991047
1900.0,1,2,0.5435095215328567,1696.888720548241,-173.50311691238758,1644.5736796434387,118.35568648209927
