arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,0.999999694097773,0.0,0.0,0.0,0.0
100.0,1,2,0.9999490960734029,46.44933086109009,-88.55766292397843,98.52157945015358,-0.514236834843186
200.0,1,2,0.9975719508561194,145.59836015735516,-96.21672061428234,150.1258173000296,83.36149291670469
300.0,1,2,0.9966213721475436,245.38912650743637,-102.67900014498446,250.12568729604624,83.52274048964372
400.0,1,2,0.9949756210376041,345.0850193363131,-110.3670628978276,350.1250201597884,83.79920854357209
500.0,1,2,0.9914733389296055,444.503387333555,-120.93177389713594,450.1249941818629,83.87120316328357
600.0,1,2,0.9841980675595038,543.7295176863004,-133.32301418721158,550.1249510392081,83.94898240781473
700.0,1,2,0.9531662148457156,640.5894666737574,-155.0709248771309,650.1194489994671,84.47589354929201
800.0,1,2,0.8366369723545701,736.745077549829,-177.3017168943977,749.9820902182375,89.70205729306747
900.0,1,2,0.8012238056793193,836.696571814126,-180.35496666733022,849.9494601214608,91.44290363470432
1000.0,1,2,0.7514113135542565,936.572679750064,-180.28136626470507,949.6183282411606,97.28916360426132
1100.0,1,2,0.8717894615332491,1033.656622627829,-163.87058054765492,1048.0972713136007,97.39315568533014
1200.0,1,2,0.8930205777332545,1129.1479552402434,-148.9242609488168,1139.4349383255362,108.43076323759206
1300.0,1,2,0.04852214504651815,1192.7170720569206,-216.87270148278313,1230.141034406966,140.69410576395512
1400.0,1,2,0.000717167951191038,1246.4885416144398,-301.18538772646014,1330.0158041668185,135.6910701438122
1500.0,1,2,0.0001880868777444916,1337.246417689398,-317.0386945456966,1429.38440468971,145.44083861202924
1600.0,1,2,0.0001793903988220366,1437.2387416130155,-315.7996802786927,1529.3600282533748,147.6487093184757
1700.0,1,2,0.000172407393460471,1537.2204012679563,-314.03085160193893,1629.3264941505695,150.23028742818354
1800.0,1,2,0.00024709133782579854,1636.889084389575,-307.1869169001102,1729.3128921595821,149.66806243854128
1900.0,1,2,0.0015660875418528068,1727.5762761448464,-270.15703343845524,1829.2709454793007,146.77193113414603
2000.0,1,2,0.038200430150262164,1792.8953622527097,-198.0775129217005,1927.8443081852529,140.5417703968706
2100.0,1,2,0.10852088218934222,1892.1142951456604,-185.60340551539247,2019.2964763585985,131.99690593655072
2200.0,1,2,0.6881302895327474,1991.5908086867908,-175.61221683629753,2090.7329190483947,90.70460697938944
2300.0,1,2,0.7718235102728939,2083.74467392245,-147.78915760615106,2189.4340695093797,106.76956566834805
2400.0,1,2,0.9861394751998185,2152.679979573754,-75.90757107257623,2286.576438707911,91.93148869397645
