arc_dist,agent,landmark_id,quality,xa,ya,xl,yl
449.9614958687103,2,3,1.9007421213422234e-5,400.08650178398454,83.83693591120849,550.0,300.0
596.756782899082,2,3,0.00043531622484503136,546.8817543926742,83.9374639184188,550.0,300.0
696.535885742975,2,3,0.00011258643729662454,646.6602279478001,84.29183567407982,550.0,300.0
794.8523389346742,2,3,3.8995961080884935e-6,744.837805063296,89.5156580223657,550.0,300.0
1071.4183793331506,1,2,5.521061555983092e-6,1007.8747881034034,-176.2077620936489,1250.0,-320.0
1144.3929828450619,1,2,4.979534789953362e-5,1073.7009766936058,-144.7084660156767,1250.0,-320.0
1221.3266838154814,1,2,0.0015986537867340906,1150.4132602411053,-150.54112389471936,1250.0,-320.0
1310.5033755113222,1,2,0.37775400222696776,1198.364893232015,-225.72837836860046,1250.0,-320.0
1419.9789625409635,1,2,0.9979068707023883,1257.231522971112,-318.0301879859887,1250.0,-320.0
1541.9723490197664,1,2,0.12446299881820995,1379.2155447407058,-316.51863994445443,1250.0,-320.0
1665.7438058430475,1,2,3.710159537939727e-5,1502.9775010686667,-314.9851178437782,1250.0,-320.0
2262.340049591292,1,1,5.652146424330922e-5,2053.7230409655376,-170.52620709342543,2250.0,-320.0
2324.5611577683553,1,1,0.00010312374357851798,2103.32425529513,-132.96045354299545,2250.0,-320.0
2415.4384288820656,1,1,1.1784538804424372e-5,2162.7805433769286,-64.23179712801084,2250.0,-320.0
