agent,ctrl_index,x,y
1,1,0.0,0.0
1,2,97.91403041175826,-2.085985645847346
1,3,147.91401620684059,84.5165732371747
1,4,247.14881212235926,84.51656835752004
1,5,352.0271654052587,84.51656866274965
1,6,447.91402981621144,84.51655493781024
1,7,497.9140281624677,171.1191108740756
1,8,547.9140211377571,257.7216557304326
1,9,647.9140376702428,257.72164750305825
1,10,702.0849979066267,171.11914089057555
1,11,747.9140252434103,84.51658284831585
1,12,847.525642360472,86.02747292698992
1,13,947.2507429349339,87.04885484840281
1,14,1047.2955622469076,84.51657831790968
1,15,1102.8432471942572,170.69192815394894
1,16,1202.852894825363,170.8458586052912
1,17,1302.816483124934,170.85122881449772
1,18,1402.836325656626,170.85659735977447
1,19,1500.400644962776,170.861786446082
2,1,0.0,0.0
2,2,47.91447556357577,88.45463012214233
2,3,249.78131013871254,88.57657460206565
2,4,253.14708007317054,88.67476097735798
2,5,347.8017966376534,88.68879023388
2,6,452.0854151839649,88.69139138339838
2,7,552.0855107908106,88.70102771933715
2,8,646.9420745334659,91.26006620645306
2,9,751.5787425743198,94.79660673359948
2,10,836.5431279293346,93.20766241605864
2,11,930.5815954317553,104.08358045296139
2,12,1016.369970207333,84.51799761106449
2,13,1138.468042001298,137.2309748316287
2,14,1219.4732413967527,131.1853848822391
2,15,1306.231616295342,144.3554565078863
2,16,1404.5092489417505,150.18713651108013
2,17,1503.4605680752552,159.14729769025138
2,18,1603.3500522059921,165.93868009634056
2,19,1700.0,173.20508075688772
