arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,1.0,0.0,0.0,0.0,0.0
100.0,1,2,0.9999999999999596,92.1293777762593,37.170359469777146,81.54866284041401,57.48480623202105
200.0,1,2,1.0,177.06592499526454,88.02462255221002,176.2474542460825,87.87120050158438
300.0,1,2,0.9999999999999998,276.57206378862867,87.89204630603747,275.00083207776055,77.58578011462053
400.0,1,2,0.9999999999999987,366.14188234226725,48.97507059380365,364.58726761073314,34.70834321084047
500.0,1,2,0.9999999999999996,422.3761516768288,-33.48084670610399,433.14786694119005,-37.80896861300471
600.0,1,2,0.9999999999999956,506.3793641093393,-84.21335775052918,522.9040629183239,-79.03151312351213
700.0,1,2,0.9999999999999352,605.2543249535187,-84.01640029952225,620.4083320234733,-65.2971567543534
800.0,1,2,0.999999999999877,682.0864049166166,-24.100043015290375,697.6728660470997,-3.688139577210362
900.0,1,2,0.9999999998971048,729.5835097428695,63.859215158409306,772.0317412221209,61.6299963803641
1000.0,1,2,0.17075579125376594,781.9684094552849,148.90682653117574,867.425485143956,89.72206167929608
