iter,agent,i,x,y
0,1,1,0.000000,0.000000
0,1,2,11.996046,-20.761055
0,1,3,23.051698,-39.793065
0,1,4,33.268229,-57.171208
0,1,5,42.746914,-72.970659
0,1,6,51.589024,-87.266593
0,1,7,59.895833,-100.134187
0,1,8,67.768615,-111.648617
0,1,9,75.308642,-121.885057
0,1,10,82.617188,-130.918684
0,1,11,89.795525,-138.824674
0,1,12,96.944927,-145.678203
0,1,13,104.166667,-151.554446
0,1,14,111.542728,-156.528579
0,1,15,119.077932,-160.675778
0,1,16,126.757812,-164.071219
0,1,17,134.567901,-166.790078
0,1,18,142.493731,-168.907530
0,1,19,150.520833,-170.498751
0,1,20,158.634742,-171.638918
0,1,21,166.820988,-172.403205
0,1,22,175.065104,-172.866790
0,1,23,183.352623,-173.104846
0,1,24,191.669078,-173.192551
0,1,25,200.000000,-173.205081
0,1,26,208.333333,-173.205081
0,1,27,216.666667,-173.205081
0,1,28,225.000000,-173.205081
0,1,29,233.333333,-173.205081
0,1,30,241.666667,-173.205081
0,1,31,250.000000,-173.205081
0,1,32,258.333333,-173.205081
0,1,33,266.666667,-173.205081
0,1,34,275.000000,-173.205081
0,1,35,283.333333,-173.205081
0,1,36,291.666667,-173.205081
0,1,37,300.000000,-173.205081
0,1,38,308.333333,-173.205081
0,1,39,316.666667,-173.205081
0,1,40,325.000000,-173.205081
0,1,41,333.333333,-173.205081
0,1,42,341.666667,-173.205081
0,1,43,350.000000,-173.205081
0,1,44,358.333333,-173.205081
0,1,45,366.666667,-173.205081
0,1,46,375.000000,-173.205081
0,1,47,383.333333,-173.205081
0,1,48,391.666667,-173.205081
0,1,49,400.000000,-173.205081
0,1,50,408.333333,-173.205081
0,1,51,416.666667,-173.205081
0,1,52,425.000000,-173.205081
0,1,53,433.333333,-173.205081
0,1,54,441.666667,-173.205081
0,1,55,450.000000,-173.205081
0,1,56,458.333333,-173.205081
0,1,57,466.666667,-173.205081
0,1,58,475.000000,-173.205081
0,1,59,483.333333,-173.205081
0,1,60,491.666667,-173.205081
0,1,61,500.000000,-173.205081
0,1,62,508.333333,-173.205081
0,1,63,516.666667,-173.205081
0,1,64,525.000000,-173.205081
0,1,65,533.333333,-173.205081
0,1,66,541.666667,-173.205081
0,1,67,550.000000,-173.205081
0,1,68,558.333333,-173.205081
0,1,69,566.666667,-173.205081
0,1,70,575.000000,-173.205081
0,1,71,583.333333,-173.205081
0,1,72,591.666667,-173.205081
0,1,73,600.000000,-173.205081
0,1,74,608.328511,-173.196728
0,1,75,616.628086,-173.138258
0,1,76,624.869792,-172.979553
0,1,77,633.024691,-172.670497
0,1,78,641.063850,-172.160972
0,1,79,648.958333,-171.400861
0,1,80,656.679205,-170.340047
0,1,81,664.197531,-168.928412
0,1,82,671.484375,-167.115840
0,1,83,678.510802,-164.852212
0,1,84,685.247878,-162.087413
0,1,85,691.666667,-158.771324
0,1,86,697.747878,-154.870534
0,1,87,703.510802,-150.418456
0,1,88,708.984375,-145.465205
0,1,89,714.197531,-140.060899
0,1,90,719.179205,-134.255655
0,1,91,723.958333,-128.099591
0,1,92,728.563850,-121.642824
0,1,93,733.024691,-114.935470
0,1,94,737.369792,-108.027648
0,1,95,741.628086,-100.969474
0,1,96,745.828511,-93.811066
0,1,97,750.000000,-86.602540
0,1,98,754.169078,-79.381486
0,1,99,758.352623,-72.135372
0,1,100,762.565104,-64.839142
0,1,101,766.820988,-57.467735
0,1,102,771.134742,-49.996094
0,1,103,775.520833,-42.399160
0,1,104,779.993731,-34.651875
0,1,105,784.567901,-26.729179
0,1,106,789.257812,-18.606015
0,1,107,794.077932,-10.257322
0,1,108,799.042728,-1.658044
0,1,109,804.166667,7.216878
0,1,110,809.502797,16.359093
0,1,111,815.258488,25.626600
0,1,112,821.679688,34.843991
0,1,113,829.012346,43.835854
0,1,114,837.502411,52.426779
0,1,115,847.395833,60.441356
0,1,116,858.938561,67.704175
0,1,117,872.376543,74.039826
0,1,118,887.955729,79.272898
0,1,119,905.922068,83.227982
0,1,120,926.521508,85.729666
0,1,121,950.000000,86.602540
0,2,1,0.000000,0.000000
0,2,2,11.996046,20.761055
0,2,3,23.051698,39.793065
0,2,4,33.268229,57.171208
0,2,5,42.746914,72.970659
0,2,6,51.589024,87.266593
0,2,7,59.895833,100.134187
0,2,8,67.768615,111.648617
0,2,9,75.308642,121.885057
0,2,10,82.617188,130.918684
0,2,11,89.795525,138.824674
0,2,12,96.944927,145.678203
0,2,13,104.166667,151.554446
0,2,14,111.542728,156.528579
0,2,15,119.077932,160.675778
0,2,16,126.757812,164.071219
0,2,17,134.567901,166.790078
0,2,18,142.493731,168.907530
0,2,19,150.520833,170.498751
0,2,20,158.634742,171.638918
0,2,21,166.820988,172.403205
0,2,22,175.065104,172.866790
0,2,23,183.352623,173.104846
0,2,24,191.669078,173.192551
0,2,25,200.000000,173.205081
0,2,26,208.333333,173.205081
0,2,27,216.666667,173.205081
0,2,28,225.000000,173.205081
0,2,29,233.333333,173.205081
0,2,30,241.666667,173.205081
0,2,31,250.000000,173.205081
0,2,32,258.333333,173.205081
0,2,33,266.666667,173.205081
0,2,34,275.000000,173.205081
0,2,35,283.333333,173.205081
0,2,36,291.666667,173.205081
0,2,37,300.000000,173.205081
0,2,38,308.333333,173.205081
0,2,39,316.666667,173.205081
0,2,40,325.000000,173.205081
0,2,41,333.333333,173.205081
0,2,42,341.666667,173.205081
0,2,43,350.000000,173.205081
0,2,44,358.333333,173.205081
0,2,45,366.666667,173.205081
0,2,46,375.000000,173.205081
0,2,47,383.333333,173.205081
0,2,48,391.666667,173.205081
