iter,stage,mu,len,unc,feasible,min_slack,backtracks
0,0,2.0,1158.585447,1.563963,true,0.011666667666666665,0
1,1,2.0,1159.733877,1.398770,true,0.011629338392173035,0
2,1,2.0,1159.865306,1.365513,true,0.01186509669067864,0
3,1,2.0,1159.654314,1.352881,true,0.012112009972691639,0
4,1,2.0,1159.253729,1.346932,true,0.012371149646596904,0
5,1,2.0,1158.737031,1.343905,true,0.012631457137494626,0
6,1,2.0,1158.144970,1.342511,true,0.01288743008504999,0
7,1,2.0,1157.502667,1.342238,true,0.013138089952041073,0
8,1,2.0,1156.826898,1.342880,true,0.013382911078146924,0
9,1,2.0,1156.129437,1.344363,true,0.01361881613377493,0
10,1,2.0,1155.419223,1.346669,true,0.013842733109422047,0
11,1,2.0,1154.703286,1.349850,true,0.01405574936643456,0
12,1,2.0,1153.987174,1.353966,true,0.014258791756644632,0
13,1,2.0,1153.275470,1.359077,true,0.014452669141807708,0
14,1,2.0,1152.572051,1.365220,true,0.014638100212436935,0
15,1,2.0,1151.880262,1.372382,true,0.01481573189781544,0
16,1,2.0,1151.203022,1.380488,true,0.01498615186161657,0
17,1,2.0,1150.542892,1.389374,true,0.015149896432003982,0
18,1,2.0,1149.907744,1.398581,true,0.015307455119166992,0
19,1,2.0,1149.298610,1.407721,true,0.015459268831382081,0
20,1,2.0,1148.716166,1.416354,true,0.01560573057322443,0
21,1,2.0,1148.160719,1.424040,true,0.015747185679253876,0
22,1,2.0,1147.633024,1.430331,true,0.01588393252889963,0
23,1,2.0,1147.132429,1.434958,true,0.01601622397663858,0
24,1,2.0,1146.657876,1.437776,true,0.016144270237507058,0
25,1,2.0,1146.207940,1.438796,true,0.016268243536971753,0
26,1,2.0,1145.776982,1.438491,true,0.016391736071141947,0
27,1,2.0,1145.363521,1.437061,true,0.01651442507800407,0
28,1,2.0,1144.965981,1.434754,true,0.016636015965128072,0
29,1,2.0,1144.582780,1.431920,true,0.016759228607479783,0
30,1,2.0,1144.212412,1.428824,true,0.016883428888239023,0
31,1,2.0,1143.853507,1.425672,true,0.01700805791729526,0
32,1,2.0,1143.503882,1.422662,true,0.017132627167828554,0
33,1,2.0,1143.163621,1.419875,true,0.017256714091353754,0
34,1,2.0,1142.831861,1.417415,true,0.017379956504717374,0
35,1,2.0,1142.507944,1.415352,true,0.017502047780365113,0
36,1,2.0,1142.191404,1.413731,true,0.017622732010928566,0
37,1,2.0,1141.886948,1.412345,true,0.01774179919287746,0
38,1,2.0,1141.593623,1.411085,true,0.017856115713174907,0
39,1,2.0,1141.310593,1.410035,true,0.01796589708062668,0
40,1,2.0,1141.037137,1.409231,true,0.018071352959401814,0
45,1,2.0,1139.789032,1.408478,true,0.018521260931645484,0
50,1,2.0,1138.658654,1.414346,true,0.018921635876272068,0
55,1,2.0,1137.706724,1.420454,true,0.019185504004199033,0
60,1,2.0,1136.894498,1.415703,true,0.01939719162524438,0
65,1,2.0,1136.187404,1.410147,true,0.019596341567220663,0
70,2,0.7,1135.217678,1.436503,true,0.019786897650127647,0
75,2,0.7,1133.396815,1.553652,true,0.019920915522018582,0
80,2,0.7,1131.389634,1.654985,true,0.02001164082019343,0
85,2,0.7,1129.535672,1.599978,true,0.02008647016029799,0
90,2,0.7,1127.773379,1.525445,true,0.020158582183666833,0
95,2,0.7,1126.043771,1.490333,true,0.02022841095805362,0
100,2,0.7,1124.385678,1.495052,true,0.020234623380785084,0
105,2,0.7,1122.878837,1.522511,true,0.020210057371314927,0
110,2,0.7,1121.592605,1.609933,true,0.020450483474292805,0
115,2,0.7,1120.611197,1.655516,true,0.02052269639652741,0
120,2,0.7,1119.893778,1.591656,true,0.020589343225611817,0
125,2,0.7,1119.275018,1.534649,true,0.02065564645851431,0
130,2,0.7,1118.704478,1.514772,true,0.020721982065303537,0
135,3,0.24499999999999997,1118.134853,1.502836,true,0.020782055434691478,0
140,3,0.24499999999999997,1117.053853,1.564787,true,0.0208347551131507,0
145,3,0.24499999999999997,1115.639218,1.688896,true,0.020871420029386505,0
150,3,0.24499999999999997,1114.206591,1.820855,true,0.020900478260311137,0
