scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status,sequential_leg1_length,sequential_replanned
s002,40,3.5146,sequential,sequential,2,true,,771.7777339879726,1.6252810884025088,1.2104,16.3,1.0253,21125,771.778,"[0.9227, 1.6253]","[0.95, 3.3242]",3.3242193027243094,0.013202363755904957,optimized,786.6025403784438,false
s002,35,3.0753,sequential,sequential,2,false,recovery_failed,779.8904747740298,3.7654072783332384,,16.4,1.0342,22095,779.89,"[3.3239, 3.7654]","[3.359, 3.5356]",3.5356349079178764,-0.6901111203332384,recovery_failed,786.6025403784439,false
s002,30,2.6360,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s003,100,6.5157,sequential,sequential,2,true,,660.4731766928481,3.2072685235243585,1.0998,38.3,2.3715,217737,660.473,"[1.728, 3.2073]","[2.8445, 3.1347]",3.134741496740828,3.5596526686276775e-6,optimized,750.0000000000001,false
s003,95,6.1900,sequential,sequential,2,true,,714.0809183857828,2.663600904288828,1.1890,37.4,2.3152,217737,714.081,"[2.5167, 2.6636]","[2.8445, 3.1347]",3.134741496740828,0.005304178204848822,optimized,750.0000000000001,false
s003,90,5.8642,sequential,sequential,2,true,,691.9842833179393,3.331838557021511,1.1522,37.5,2.3210,217737,691.984,"[2.1583, 3.3318]","[2.8445, 3.1347]",3.134741496740828,3.117669291441416e-5,optimized,750.0000000000001,false
s003,85,5.5384,sequential,sequential,2,true,,631.0487264434594,1.899731384845299,1.0508,38.7,2.3946,217737,631.049,"[1.2353, 1.8997]","[2.8445, 3.1347]",3.134741496740828,1.2154942228586152e-5,optimized,750.0000000000001,false
s003,80,5.2126,sequential,sequential,2,true,,713.6127360784644,2.62193472670387,1.1882,37.4,2.3156,217737,713.613,"[2.489, 2.6219]","[2.8445, 3.1347]",3.134741496740828,0.005297719882408777,optimized,750.0000000000001,false
s003,75,4.8868,sequential,sequential,2,true,,709.1357630539625,2.4486253601522954,1.1808,37.3,2.3121,217737,709.136,"[2.3954, 2.4486]","[2.8445, 3.1347]",3.134741496740828,0.0047732590421324765,optimized,750.0000000000001,false
s003,70,4.5610,sequential,sequential,2,true,,689.3001847203905,3.272357944928335,1.1478,37.6,2.3311,217737,689.3,"[2.0839, 3.2724]","[2.8445, 3.1347]",3.134741496740828,2.139800585609919e-6,optimized,750.0000000000001,false
s003,65,4.2352,sequential,sequential,2,true,,712.6174539764352,2.5272033094719277,1.1866,37.4,2.3193,217737,712.617,"[2.4312, 2.5272]","[2.8445, 3.1347]",3.134741496740828,0.005266999152352434,optimized,750.0000000000001,false
s003,60,3.9094,sequential,sequential,2,true,,714.3147373371661,2.484296506885341,1.1894,38.8,2.4005,217737,714.315,"[2.3415, 2.4843]","[2.8445, 3.1347]",3.134741496740828,0.005233721026297763,optimized,750.0000000000001,false
s003,55,3.5837,sequential,sequential,2,true,,676.650224844464,3.107717002992151,1.1267,40.3,2.4956,217737,676.65,"[2.1419, 3.1077]","[2.8445, 3.1347]",3.134741496740828,2.136109628736449e-6,optimized,750.0000000000001,false
s003,50,3.2579,sequential,sequential,2,true,,693.8948589585622,3.2123170598982256,1.1554,38.4,2.3797,217737,693.895,"[2.6525, 3.2123]","[2.8445, 3.1347]",3.134741496740828,0.007116151015156474,optimized,750.0000000000001,false
s003,45,2.9321,sequential,sequential,2,true,,762.7419488343243,2.353454403245525,1.2700,20.4,1.2654,55224,762.742,"[2.211, 2.3535]","[2.8442, 3.1311]",3.131149189069266,0.011005345720492186,optimized,786.6025403784438,false
s003,40,2.6063,sequential,sequential,2,true,,767.0859853525911,2.5033918865487674,1.2773,20.0,1.2395,55224,767.086,"[2.2787, 2.5034]","[2.8442, 3.1311]",3.131149189069266,0.011126464267483495,optimized,786.6025403784438,false
s003,35,2.2805,sequential,sequential,2,false,recovery_failed,775.3867037653114,2.4554501283611447,,18.5,1.1442,55224,775.387,"[2.3748, 2.4555]","[2.8442, 3.1311]",3.131149189069266,-0.1749373963611447,recovery_failed,786.6025403784438,false
s003,30,1.9547,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s004,100,4.8986,sequential,sequential,2,true,,865.3891022959369,3.2485958617973676,1.0017,15.9,0.9762,253,865.389,"[1.6102, 3.2486]","[2.6984, 3.2529]",3.252854750545607,4.734969027391344e-6,optimized,950.0,true
s004,95,4.6536,sequential,sequential,2,true,,870.9851613371383,3.791391957070363,1.0082,15.3,0.9346,253,870.985,"[1.3928, 3.7914]","[2.6984, 3.2529]",3.252854750545607,0.011689491859687836,optimized,950.0,true
s004,90,4.4087,sequential,sequential,2,true,,869.9957312642075,3.674987807247794,1.0070,15.3,0.9392,253,869.996,"[1.3554, 3.675]","[2.6984, 3.2529]",3.252854750545607,0.011375420867043184,optimized,950.0,true
s004,85,4.1638,sequential,sequential,2,true,,869.0114101060657,3.5253821363691547,1.0059,15.4,0.9445,253,869.011,"[1.3139, 3.5254]","[2.6984, 3.2529]",3.252854750545607,0.011115032578930754,optimized,950.0,true
s004,80,3.9189,sequential,sequential,2,true,,871.8653639504012,2.827836642298562,1.0092,15.5,0.9483,253,871.865,"[1.4303, 2.8278]","[2.6984, 3.2529]",3.252854750545607,4.714820536515617e-6,optimized,950.0,true
s004,75,3.6739,sequential,sequential,2,true,,880.2988252552594,3.3838555778655,1.0190,16.4,1.0039,253,880.299,"[2.459, 3.3839]","[2.6984, 3.2529]",3.252854750545607,9.973796099098764e-6,optimized,950.0,true
s004,70,3.4290,sequential,sequential,2,true,,908.7675687090549,3.428996254859972,1.0519,15.1,0.9237,253,908.768,"[2.6285, 3.429]","[2.6984, 3.2529]",3.252854750545607,1.0714002840472858e-7,optimized,950.0,true
s004,65,3.1841,sequential,sequential,2,true,,1261.6295976720944,2.176434184872969,1.4604,14.9,0.9121,3059,1261.63,"[1.7266, 2.1764]","[1.51, 3.1027]",3.102742921766702,0.009378503479850324,optimized,950.0,true
s004,60,2.9391,sequential,sequential,2,true,,937.8726665535582,2.939138688365672,1.0856,54.2,3.3206,264713,937.873,"[2.6122, 2.9391]","[2.6984, 3.2529]",3.2528547525278553,1.1926343281842833e-6,optimized,950.0,false
s004,55,2.6942,sequential,sequential,2,false,recovery_failed,938.1726434399087,2.8585376649349037,,53.6,3.2829,264713,938.173,"[2.608, 2.8585]","[2.6984, 3.2529]",3.2528547525278553,-0.16432602393490336,recovery_failed,950.0,false
s004,50,2.4493,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s004,45,2.2044,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s004,40,1.9594,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s004,35,1.7145,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s004,30,1.4696,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s005,100,6.2759,sequential,sequential,2,true,,1102.2436761091876,3.824485848801884,1.1548,15.7,0.9356,2493,1102.244,"[3.1562, 3.8245]","[3.2811, 3.5686]",3.568573907795664,0.00811469573942674,optimized,1150.0,false
s005,95,5.9621,sequential,sequential,2,true,,1102.2436769541825,3.824485444348893,1.1548,15.9,0.9484,2493,1102.244,"[3.1562, 3.8245]","[3.2811, 3.5686]",3.568573907795664,0.008114695521853277,optimized,1150.0,false
s005,90,5.6483,sequential,sequential,2,true,,1102.2436781245874,3.8244848918929444,1.1548,15.6,0.9334,2493,1102.244,"[3.1562, 3.8245]","[3.2811, 3.5686]",3.568573907795664,0.008114695218348334,optimized,1150.0,false
s005,85,5.3345,sequential,sequential,2,true,,1102.2436798374329,3.824484097295577,1.1548,15.6,0.9303,2493,1102.244,"[3.1562, 3.8245]","[3.2811, 3.5686]",3.568573907795664,0.00811469476657798,optimized,1150.0,false
s005,80,5.0207,sequential,sequential,2,true,,1102.24368258931,3.8244828509919,1.1548,15.6,0.9326,2493,1102.244,"[3.1562, 3.8245]","[3.2811, 3.5686]",3.568573907795664,0.008114694024384826,optimized,1150.0,false
s005,75,4.7070,sequential,sequential,2,true,,1102.243687730241,3.8244805921835052,1.1548,16.0,0.9555,7387,1102.244,"[3.1562, 3.8245]","[3.2811, 3.5686]",3.568573907795664,0.008114692591872492,optimized,1150.0,false
s005,70,4.3932,sequential,sequential,2,true,,1102.2437005163592,3.8244748960201544,1.1548,16.0,0.9564,7387,1102.244,"[3.1562, 3.8245]","[3.2811, 3.5686]",3.568573907795664,0.008114688788207435,optimized,1150.0,false
s005,65,4.0794,sequential,sequential,2,true,,1098.0523183727269,3.792290989338424,1.1504,16.0,0.9574,10320,1098.052,"[3.1781, 3.7923]","[3.2811, 3.5686]",3.568573907795664,0.00873671394013896,optimized,1150.0,false
s005,60,3.7656,sequential,sequential,2,true,,1101.4285319579521,3.7384202847671757,1.1539,16.2,0.9683,10320,1101.429,"[3.1153, 3.7384]","[3.2811, 3.5686]",3.568573907795664,0.008598909464009777,optimized,1150.0,false
s005,55,3.4518,sequential,sequential,2,true,,1864.6344781331877,2.693610410641057,1.9535,16.7,0.9981,23148,1864.634,"[2.2793, 2.6936]","[2.3326, 3.4463]",3.4463182783557147,0.011134353863159687,optimized,1150.0,true
s005,50,3.1380,sequential,sequential,2,false,recovery_failed,1100.0277090796935,3.707167300670856,,43.7,2.6097,241879,1100.028,"[3.106, 3.7072]","[3.2811, 3.5686]",3.568573907795664,-0.5691976756708557,recovery_failed,1150.0,false
s005,45,2.8242,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s005,40,2.5104,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s005,35,2.1966,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s005,30,1.8828,sequential,sequential,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s006,100,9.0711,sequential,sequential,2,true,,623.0655975204126,8.304973546716502,1.0323,15.8,0.9861,46,623.066,"[3.3581, 8.305]","[3.316, 4.2661]",4.266090509072699,6.0371489911086425e-5,optimized,650.0,false
s006,95,8.6175,sequential,sequential,2,true,,622.959046770592,8.242977637164332,1.0322,15.9,0.9895,46,622.959,"[3.3586, 8.243]","[3.316, 4.2661]",4.266090509072699,0.0016502265630887458,optimized,650.0,false
s006,90,8.1640,sequential,sequential,2,true,,624.2291391485011,8.163962332315243,1.0343,15.7,0.9775,46,624.229,"[3.3586, 8.164]","[3.316, 4.2661]",4.266090509072699,2.6106847563767133e-6,optimized,650.0,false
s006,85,7.7104,sequential,sequential,2,true,,637.7794906443748,6.486135024600462,1.0567,14.7,0.9172,46,637.779,"[3.3588, 6.4861]","[3.316, 4.2661]",4.266090509072699,0.010776561280573242,optimized,650.0,false
s006,80,7.2569,sequential,sequential,2,true,,625.5335470535937,7.256853778394154,1.0364,15.6,0.9751,46,625.534,"[3.3585, 7.2569]","[3.316, 4.2661]",4.266090509072699,4.059605846151726e-6,optimized,650.0,false
