method,scenario_id,pct,threshold,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s
hexspline_cl,s017,70,6.2685,true,,982.383170350273,4.842672450256116,1.0760,18.7
hexspline_cl,s017,60,5.3730,true,,1405.6552249846973,5.1654221677462955,1.5395,47.5
hexspline_cl,s017,50,4.4775,true,,1452.559790205681,3.984008188625766,1.5909,47.2
hexspline_cl,s017,40,3.5820,false,recovery_failed,1452.559790205681,3.984008188625766,,77.8
hexspline_cl,s017,30,2.6865,false,not_run_after_fail,,,,0.0
hexspline_cl,s023,100,5.0964,true,,783.4469266454231,3.9079586695742323,1.2322,17.6
hexspline_cl,s023,90,4.5868,true,,784.2385059115064,4.036717804482618,1.2335,17.6
hexspline_cl,s023,80,4.0771,true,,834.3413642071903,1.1856869988493475,1.3123,17.3
hexspline_cl,s023,70,3.5675,true,,834.3413642071903,1.1856869988493475,1.3123,17.5
hexspline_cl,s023,60,3.0578,true,,834.3413642071903,1.1856869988493475,1.3123,17.5
hexspline_cl,s023,50,2.5482,true,,834.2663870754559,1.1946414561537857,1.3121,17.2
hexspline_cl,s023,40,2.0386,true,,834.3187436858063,1.1901107520128753,1.3122,17.2
hexspline_cl,s023,30,1.5289,true,,834.3413642071903,1.1856869988493475,1.3123,17.1
hexspline_cl,s024,100,10.8850,true,,946.9517691049441,6.377292126007892,1.0303,18.6
hexspline_cl,s024,90,9.7965,true,,946.9528666252364,6.329606072311598,1.0303,18.5
hexspline_cl,s024,80,8.7080,true,,946.9537772352397,6.270586237636554,1.0303,18.6
hexspline_cl,s024,70,7.6195,true,,946.9558765468745,6.1730931364841455,1.0303,18.4
hexspline_cl,s024,60,6.5310,true,,946.9591433087429,6.028461831747524,1.0304,18.3
hexspline_cl,s024,50,5.4425,true,,953.2171998039364,5.442493421147006,1.0372,18.4
hexspline_cl,s024,40,4.3540,false,recovery_failed,1004.2015064666963,4.3951200899604705,,91.2
hexspline_cl,s024,30,3.2655,false,not_run_after_fail,,,,0.0
hexspline_cl,s025,100,5.2959,true,,816.9956941718991,4.463550983414588,1.0744,17.6
hexspline_cl,s025,90,4.7663,true,,848.6233522624271,1.999481023460646,1.1160,17.5
hexspline_cl,s025,80,4.2367,true,,848.7129163886457,2.0010353920110004,1.1161,17.4
hexspline_cl,s025,70,3.7071,true,,854.5884943560302,1.4975437982490865,1.1238,17.0
hexspline_cl,s025,60,3.1775,true,,854.589145334864,1.5052029742261293,1.1238,17.1
hexspline_cl,s025,50,2.6480,true,,849.9939467653455,1.8433616715299437,1.1178,17.4
hexspline_cl,s025,40,2.1184,true,,854.594144298224,1.497451793267357,1.1239,17.0
hexspline_cl,s025,30,1.5888,true,,854.6343215928496,1.4953775019169635,1.1239,16.9
hexspline_cl,s028,100,5.3112,true,,1004.7355331663507,4.0685789306888935,1.2902,17.6
hexspline_cl,s028,90,4.7800,true,,1004.7355331663507,4.0685789306888935,1.2902,17.6
hexspline_cl,s028,80,4.2489,true,,1004.7355331663507,4.0685789306888935,1.2902,17.6
hexspline_cl,s028,70,3.7178,true,,1003.3791131022858,3.653877811761659,1.2885,17.6
hexspline_cl,s028,60,3.1867,true,,1123.5072520935273,1.549720539532406,1.4427,18.0
hexspline_cl,s028,50,2.6556,true,,1123.5072520935273,1.549720539532406,1.4427,17.6
hexspline_cl,s028,40,2.1245,true,,1123.5072520935273,1.549720539532406,1.4427,17.7
hexspline_cl,s028,30,1.5933,true,,1123.5072520935273,1.549720539532406,1.4427,17.7
hexspline_cl,s029,100,5.0016,true,,1117.2335367821295,2.9309753424350604,1.1277,19.4
hexspline_cl,s029,90,4.5014,true,,1114.1875308949905,2.934221824751252,1.1246,19.5
hexspline_cl,s029,80,4.0013,true,,1115.4923677612408,3.109427808550683,1.1259,19.4
hexspline_cl,s029,70,3.5011,true,,1113.713388595977,3.4245167162947334,1.1241,19.2
hexspline_cl,s029,60,3.0010,true,,1125.2898374682109,1.5636369068205813,1.1358,19.8
hexspline_cl,s029,50,2.5008,true,,1125.1877332771196,1.5568870740051601,1.1357,19.2
hexspline_cl,s029,40,2.0006,true,,1125.0036687176532,1.535916369753951,1.1355,19.3
hexspline_cl,s029,30,1.5005,true,,1125.1280972564512,1.5004811936774205,1.1357,18.9
hexspline_cl,s030,100,8.7501,true,,895.7104972939449,5.282585951894595,1.0958,18.4
hexspline_cl,s030,90,7.8751,true,,892.2793489204396,5.0831252172258665,1.0916,18.5
hexspline_cl,s030,80,7.0001,true,,892.4709442899275,5.097453163315944,1.0918,18.3
hexspline_cl,s030,70,6.1250,true,,890.824335279621,5.355931066810518,1.0898,18.1
hexspline_cl,s030,60,5.2500,true,,856.3038767813824,5.2500395898009655,1.0476,17.9
hexspline_cl,s030,50,4.3750,true,,940.2794358938608,3.8392565959395784,1.1503,17.4
hexspline_cl,s030,40,3.5000,false,recovery_failed,1470.950229419238,3.528306018315547,,80.4
hexspline_cl,s030,30,2.6250,false,not_run_after_fail,,,,0.0
hexspline_cl,s031,100,8.7490,true,,1096.0110562900634,5.040495431775648,1.1867,19.9
hexspline_cl,s031,90,7.8741,true,,1096.0161603757454,5.037484764713327,1.1867,19.7
hexspline_cl,s031,80,6.9992,true,,1096.0553122593515,5.013227212274991,1.1868,19.7
hexspline_cl,s031,70,6.1243,true,,1095.650684535772,5.022450142205448,1.1863,20.0
hexspline_cl,s031,60,5.2494,true,,1092.1125276735781,4.831224429556185,1.1825,20.1
hexspline_cl,s031,50,4.3745,false,recovery_failed,1154.735533166351,5.096320579726213,,98.8
hexspline_cl,s031,40,3.4996,false,not_run_after_fail,,,,0.0
hexspline_cl,s031,30,2.6247,false,not_run_after_fail,,,,0.0
hexspline_cl,s032,100,7.4877,true,,1083.5249685912045,5.185386187801704,1.1242,19.4
hexspline_cl,s032,90,6.7389,true,,1081.8534591457324,5.201410796019339,1.1225,19.2
hexspline_cl,s032,80,5.9901,true,,1059.116232504565,5.2999816657839425,1.0989,19.6
hexspline_cl,s032,70,5.2414,true,,1110.7037925202183,5.046742065196827,1.1524,19.2
hexspline_cl,s032,60,4.4926,true,,1237.6460014651873,3.7584532008819536,1.2841,28.1
hexspline_cl,s032,50,3.7438,false,recovery_failed,1271.6813753351225,3.75845103834127,,93.1
hexspline_cl,s032,40,2.9951,false,not_run_after_fail,,,,0.0
hexspline_cl,s032,30,2.2463,false,not_run_after_fail,,,,0.0
hexspline_cl,s033,100,5.6674,true,,879.5553184625434,5.326375711893602,1.1742,18.7
hexspline_cl,s033,90,5.1006,true,,886.792876857232,4.596337431624707,1.1839,18.5
hexspline_cl,s033,80,4.5339,true,,918.9464720350352,3.990575192985726,1.2268,18.3
hexspline_cl,s033,70,3.9672,true,,959.346289203178,3.9651471225608175,1.2807,18.0
hexspline_cl,s033,60,3.4004,true,,1391.808167391804,1.3801157113485862,1.8581,27.9
hexspline_cl,s033,50,2.8337,true,,1391.6389197686874,1.3802642471811792,1.8578,27.7
hexspline_cl,s033,40,2.2670,true,,1392.3863497506495,1.3810130723711314,1.8588,28.5
hexspline_cl,s033,30,1.7002,true,,1394.274592276552,1.3908111778225012,1.8614,27.2
hexspline_cl,s035,100,8.7092,true,,899.3473475184716,5.228304439546589,1.0336,18.5
hexspline_cl,s035,90,7.8383,true,,900.0792165153548,5.240467736782896,1.0345,18.5
hexspline_cl,s035,80,6.9674,true,,902.9230571510601,5.168662126487984,1.0377,18.6
hexspline_cl,s035,70,6.0964,true,,902.7749688415139,5.281149566935982,1.0376,18.5
hexspline_cl,s035,60,5.2255,true,,1107.5092390730342,5.22552782145661,1.2729,85.1
hexspline_cl,s035,50,4.3546,false,recovery_failed,1110.514137013222,5.193804061907669,,76.9
hexspline_cl,s035,40,3.4837,false,not_run_after_fail,,,,0.0
hexspline_cl,s035,30,2.6128,false,not_run_after_fail,,,,0.0
hexspline_cl,s036,100,5.3877,true,,854.7355331663507,5.386751611884702,1.2065,17.6
hexspline_cl,s036,90,4.8489,true,,838.7869031286863,4.088443954345111,1.1839,17.6
hexspline_cl,s036,80,4.3101,true,,850.9583489588713,3.184801570857202,1.2011,17.5
hexspline_cl,s036,70,3.7714,true,,854.7355331663507,1.7649014672369299,1.2065,17.0
hexspline_cl,s036,60,3.2326,true,,854.7355331663507,1.7649014672369299,1.2065,17.0
hexspline_cl,s036,50,2.6938,true,,854.7355331663507,1.7649014672369299,1.2065,17.0
hexspline_cl,s036,40,2.1551,true,,854.7355331663507,1.7649014672369299,1.2065,16.9
hexspline_cl,s036,30,1.6163,false,recovery_failed,854.7355331663507,1.7649014672369299,,78.7
hexspline_cl,s037,100,5.8289,true,,1255.262472806267,5.473543813087516,1.1948,27.0
hexspline_cl,s037,90,5.2460,true,,1260.6309703939182,5.245990007974745,1.1999,26.3
