arc_dist,agent_a,agent_b,weight,xa,ya,xb,yb
0.0,1,2,0.999999694097773,0.0,0.0,0.0,0.0
100.0,1,2,0.9999996904316332,94.32355318059972,32.76684372982815,94.3018628065243,32.52956435562787
200.0,1,2,0.9999992462575852,186.5555190991834,70.6958759944129,192.04334607190387,53.51534447023576
300.0,1,2,0.9999995804615135,285.90701461293537,80.62883077437185,289.560783692867,75.47475180995413
400.0,1,2,0.9999995899545404,384.8354550048842,93.37957523138563,388.6335210267278,88.9169633510237
500.0,1,2,0.9999932958246076,463.1307101238217,152.13342691796447,488.38016611497187,95.78759849733035
600.0,1,2,0.9996661999156334,529.7960711329757,225.88494651325556,588.3333411845696,98.81235406197008
700.0,1,2,0.9993301921669261,625.5352406699124,241.24272521379788,688.3135874757999,100.79148866781075
800.0,1,2,0.9999006969991392,703.7295594377139,182.1592302756391,788.2821048305218,103.24780296050028
900.0,1,2,0.9998853570328461,769.6095493020582,107.78751347310426,888.1353295900151,108.59562864779728
1000.0,1,2,0.9998279482328072,865.1278310383849,82.70707322763877,988.0192102499949,113.32917526765483
1100.0,1,2,0.9998153702768584,964.5805719377962,91.63168038443122,1085.725646137081,133.14517082694388
1200.0,1,2,0.9998185587721349,1059.3978846048765,121.58503635222989,1184.2254337236093,148.57487989470044
1300.0,1,2,0.9997562363369021,1150.4530316776504,161.94919962091754,1283.9386343529832,155.98791132419313
1400.0,1,2,0.9997473162880728,1249.674714458212,172.54694337625884,1383.676980429299,163.06077849564534
1500.0,1,2,0.9997516888874846,1349.65743062331,171.22743032680614,1483.5876689361628,167.27979405835117
1600.0,1,2,0.9997524978268301,1449.6272526004584,168.77108265171887,1583.541840960345,170.28333323038777
1700.0,1,2,0.9983394322170365,1511.576189289144,167.31503688449376,1683.5105835182123,172.78315739816028
